GeneID	GSM2069823	GSM2069824	GSM2069825	GSM2069826	GSM2069827	GSM2069828	GSM2069829	GSM2069830	GSM2069831	GSM2069832	GSM2069833	GSM2069834	GSM2069835	GSM2069836	GSM2069837	GSM2069838	GSM2069839	GSM2069840	GSM2069841	GSM2069842	GSM2069843	GSM2069844	GSM2069845	GSM2069846	GSM2069847	GSM2069848	GSM2069849	GSM2069850
100287102	0.0916	0.02325	0.09848	0.0218	0.03838	0.09912	0.1706	0.141	0.1285	0.4364	0.08338	0.07796	0.1237	0.461	0.09622	0.175	0.06576	0.15	0.1546	0.06302	0.06767	0.06436	0.01982	0.06604	0.3972	0.07164	0.1178	0.1346
653635	14.58	8.553	16.65	30.04	13.64	23.9	20.87	21.74	23.11	13	18.16	17.28	20.63	16.24	14.44	13.97	9.439	10.45	20.03	13.59	15.62	17.29	18.2	16.1	27.24	16.99	15.08	24.97
102466751	9.791	3.953	14.95	6.884	34.96	23.6	22.38	16.45	17.94	11.13	26.33	12.12	16.9	12.73	14.03	14.46	11.18	10.65	6.828	8.803	22.6	12.51	33.23	9.092	34.46	11.6	7.157	23.43
107985730	0.05625	0	0.1134	0.4016	0.1473	0.06087	0	0.2165	0.3451	0.134	0.1024	0.04788	0.1899	0.2574	0.08442	0	0	0.03543	0.08631	0	0.05195	0.06587	0.06087	0.0676	0.3485	0.07332	0.0603	0
100302278	0.2193	0	0.1474	0	0	0	0	0.5065	0.1922	0	0	0	0.3701	0	0	0	0	0	0.1682	0	0	0	0.2373	0	0.3396	0	0	0
645520	0.05357	0	0	0.03187	0.04208	0	0	0.1031	0.02347	0.0319	0.04876	0.3875	0	0.0919	0.06029	0	0.01373	0.08435	0	0	0	0	0	0	0.04148	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03961	0	0	0	0
100996442	0.6555	0.4394	0.4987	0.5518	0.6089	0.803	0.4607	0.7046	0.6992	0.4787	0.6305	0.379	0.7149	0.481	0.1206	0.254	0.3044	0.261	0.09488	0.5318	0.868	0.4128	0.5754	0.0966	0.4405	0.54	0.3248	0.3558
729737	1.238	0.8699	0.5833	0.9341	0.8281	1.98	1.709	3.09	0.9256	0.856	3.296	2.626	1.404	2.34	1.278	4.527	1.338	1.772	0.8779	2.277	3.012	7.225	2.13	0.6511	2.671	2.76	0.563	1.53
102725121	0.0565	0.04779	0.2025	0.08963	0.05918	0.02038	0.1754	0.1305	0.3136	0.314	0.1029	0.04809	0.2384	0.5601	0.1696	0.2159	0.1352	0.3321	0.26	0.09717	0.06956	0.04411	0.02038	0.1131	0.3792	0.04909	0.06057	0.06917
102723897	19.3	7.72	15.97	52.82	17.06	22.46	26.34	24.3	26.29	13.49	20.84	18.17	21.44	20.6	16.27	15.45	12.23	14.14	21.44	16.88	20.06	21.41	23.47	18.09	34.04	24.44	16.47	25.25
102465909	5.786	2.824	9.869	3.707	20.74	10.59	10.78	11.31	8.192	5.831	17.42	6.44	9.39	9.163	7.347	7.228	7.303	12.89	3.073	3.827	9.453	6.254	13.48	3.744	13.1	12.18	3.34	9.808
107985721	0.02237	0	0.04509	0.05323	0.02929	0.0242	0	0.05166	0.1176	0.03996	0.04072	0.01904	0.0755	0.1151	0.008392	0.02137	0.01147	0.007044	0.00858	0.009618	0	0.0131	0.0121	0.02688	0.1386	0.01458	0.01199	0.01369
112268260	0.5554	0.1456	0.1296	0.1038	0.2019	0.06457	0.3505	0.371	0.3702	0.08201	0.2883	0.07814	0.1356	0.168	0.02067	0.0614	0.1224	0.1301	0.05634	0.0829	0.1484	0.8009	0.2185	0.1158	0.2915	0.0718	0.06889	0.07306
729759	0	0	0	0	0.01688	0.03488	0	0	0.02825	0	0	0.02743	0.0272	0.03686	0	0	0.01653	0.0203	0	0	0.02976	0.03774	0.03487	0	0	0	0	0
100132287	1.683	1.098	1.149	2.546	1.146	2.75	3.044	6.158	1.961	1.79	2.969	3.13	2.963	2.289	1.044	3.182	1.449	1.549	1.397	5.408	7.975	4.452	1.956	1.082	7.218	5.597	1.128	2.281
105378947	0.2454	0.09834	0.05208	0.04611	0.08118	0.04193	0.09623	0.1293	0.1132	0.01538	0.1176	0.07696	0	0.07387	0.009692	0.02468	0.05299	0.04881	0.02973	0.02222	0.01193	0.121	0.08386	0.07761	0.06001	0.01684	0.02769	0
101928626	0	0	0	0	0	0.9439	0.07063	0	0	0	0	0	0	0	0	0	0	0.02389	0	0	0	0	0	0	0.05874	0	0	0
113219467	965.9	1913	2659	93.32	2552	9210	4737	9206	3874	3215	1467	1607	8127	6869	5381	4562	805.9	9352	1.796e+04	7574	7367	4270	4716	1.107e+04	1.54e+04	1.166e+04	1.507e+04	8753
81399	0.04189	0.01993	0.04222	0.02492	0.04662	0.02266	0.04876	0.02418	0.07802	0.07483	0.04766	0.03565	0.02651	0.0539	0.01179	0.01	0.02416	0.07915	0	0.05854	0.08703	0.06744	0.06798	0.02517	0.07298	0.04095	0.01684	0.03205
100133331	1.813	1.195	1.08	2.317	1.206	3.372	3.192	5.229	2.601	2.337	3.198	3.551	2.026	2.455	1.058	2.889	1.602	1.454	1.57	4.58	6.58	4.114	2.084	1.14	6.362	5.179	1.283	2.515
107984841	1.144	0.9953	1.098	1.439	1.01	1.521	1.522	2.39	2.406	1.479	2.44	2.114	0.9653	1.832	0.515	1.561	1.475	0.7205	0.4513	4.553	7.304	1.569	1.768	0.864	2.328	4.771	0.981	1.841
107984847	3.806	2.217	3.858	6.459	2.549	3.579	3.835	7.734	6.782	3.939	8.35	5.417	4.055	6.138	1.873	2.981	3.52	2.201	0.7659	19.32	31.35	4.603	5.199	2.549	9.471	16.02	2.007	6.341
107984849	1.513	1.372	1.816	1.8	0.9057	0.8187	1.812	4.244	1.8	1.159	2.952	1.38	1.642	2.225	0.6488	1.136	1.441	0.6808	0.2487	8.273	12.58	1.898	1.403	0.3896	2.009	5.635	0.3476	1.191
100288069	1.258	1.597	1.884	1.602	1.619	1.29	0.8222	1.224	3.096	1.814	2.934	2.198	1.677	1.944	0.6956	0.8646	1.324	0.5701	0.2371	2.734	5.096	0.5945	1.767	0.5305	1.436	3.309	1.065	1.108
105378580	0.2238	0.1196	0.09895	0.1191	0.1635	0.2677	0.4169	0.3038	0.4492	0.5753	0.4129	0.2507	0.169	0.1617	0.02652	0.1801	0.1057	0.2597	0.04067	0.233	0.5331	0.1724	0.1785	0.1062	0.5109	0.2687	0.08209	0.2668
400728	0.467	0.2568	0.1883	0.3149	0.7746	0.1853	0.4929	0.4195	0.5322	0.9271	0.5952	0.2385	0.1051	0.4274	0.01168	0.1041	0.2475	0.3138	0.05971	0.3347	0.6613	0.1458	0.1853	0.1309	0.4099	0.2029	0.03338	0.305
