gene,drug,approved,interaction_score
CYP2A6,LETROZOLE,True,7.250527577622991
SERPINB2,UROKINASE,True,6.525474819860691
CYP2A6,PILOCARPINE HYDROCHLORIDE,True,5.495136690409003
MDGA2,MILNACIPRAN,True,4.97179033894148
MYCN,DINUTUXIMAB,True,4.971790338941479
OCA2,ENTECAVIR ANHYDROUS,True,4.745799868989594
CYP2A6,ARTEMOTIL,True,4.745799868989594
OCA2,TELBIVUDINE,True,4.745799868989594
CYP2A6,COUMARIN,True,4.350316546573794
CYP2A6,ARTEMETHER,True,3.796639895191675
TAT,BENZNIDAZOLE,True,3.480253237259035
CD4,IBALIZUMAB,True,3.262737409930345
CYP2A6,ARTESUNATE,True,3.163866579326396
CYP2A6,CAFFEINE,True,2.885959379790969
MDGA2,FLUVOXAMINE,True,2.677117874814643
CCK,DIAZOXIDE,True,2.677117874814643
IL1B,CANAKINUMAB,True,2.559009733278702
TH,3-IODOBENZYLGUANIDINE,True,2.485895169470739
TH,TYROSINE,True,2.485895169470739
OCA2,ADEFOVIR,True,2.372899934494797
JUN,BRUCEANTIN,True,2.269730372125457
TNF,GOLIMUMAB,True,2.245324669199378
IL6,SILTUXIMAB,True,2.130767288117777
CYP2A6,ARTEMISININ,True,2.109244386217597
IL1B,PENTAMIDINE,True,2.047207786622961
IFNG,FUMARIC ACID,True,1.864421377103054
CYP2A6,VALPROIC ACID,True,1.748452583311955
IL2,IMIPENEM ANHYDROUS,True,1.631368704965172
PRTN3,MYCOPHENOLATE MOFETIL,True,1.631368704965172
IL2,CEFEPIME,True,1.631368704965172
CTNNB1,FLUORESCEIN SODIUM,True,1.581933289663198
TH,SAPROPTERIN,True,1.491537101682443
SOX10,VEMURAFENIB,True,1.410913474564473
MDGA2,"PAROXETINE HYDROCHLORIDE, HEMIHYDRATE",True,1.392101294903614
ZIC4,HALOPERIDOL DECANOATE,True,1.37378417260225
PTGS2,ETORICOXIB,True,1.338558937407321
KDM6A,TAZEMETOSTAT,True,1.305094963972138
EGFR,AFATINIB,True,1.223526528723879
ALB,ALBUMIN HUMAN-KJDA,True,1.186449967247398
CYP2A6,IFOSFAMIDE,True,1.186449967247398
ALB,GADOBENATE DIMEGLUMINE,True,1.186449967247398
ALB,BISMUTH,True,1.186449967247398
ALB,GADOFOSVESET TRISODIUM,True,1.186449967247398
ALB,AMODIAQUINE HYDROCHLORIDE,True,1.186449967247398
JUN,SODIUM SELENITE,True,1.134865186062728
JUN,COPPER CHLORIDE,True,1.134865186062728
TNF,MEROPENEM ANHYDROUS,True,1.122662334599689
EGFR,MOBOCERTINIB,True,1.087579136643448
IL1B,GLUCOSAMINE,True,1.02360389331148
CDKN2A,PALBOCICLIB,True,1.02360389331148
FOS,MAGNESIUM SULFATE ANHYDROUS,True,1.003919203055491
KRAS,PANITUMUMAB,True,0.9788212229791036
TH,METYROSINE,True,0.9561135267195154
CCK,CHLORPROMAZINE,True,0.9406089830429826
IFNG,PEFLOXACIN,True,0.9322106885515273
PTGS2,OMEGA-3 FATTY ACIDS,True,0.8923726249382141
PTGS2,CARPROFEN,True,0.8923726249382141
PTGS2,VALDECOXIB,True,0.8923726249382141
TAT,URIDINE,True,0.8700633093147588
UGT1A1,DOLUTEGRAVIR SODIUM,True,0.8700633093147588
UGT1A1,ARFORMOTEROL,True,0.8700633093147588
KRAS,ADAGRASIB,True,0.8156843524825864
HSPA5,CHLORQUINALDOL,True,0.8156843524825864
PIP,TAMOXIFEN,True,0.8031353624443928
CDKN2A,ABEMACICLIB,True,0.7850195272012861
SRC,TIRBANIBULIN,True,0.7733896082797855
UGT1A6,ACETAMINOPHEN,True,0.7170851450396365
IL6,VITAMIN A PALMITATE,True,0.7102557627059256
IL1B,RILONACEPT,True,0.6824025955409873
IL1B,TILUDRONIC ACID,True,0.6824025955409873
IL1B,THYROGLOBULIN,True,0.6824025955409873
UGT1A7,ATAZANAVIR,True,0.6824025955409873
EGFR,NECITUMUMAB,True,0.6797369604021554
PTGS2,ETODOLAC,True,0.6692794687036606
UGT1A1,MOXIFLOXACIN,True,0.6525474819860692
TH,PHENYLALANINE,True,0.6214737923676849
EGFR,CETUXIMAB,True,0.6172746451219573
HSPA4,SODIUM SALICYLATE,True,0.6070209134754131
ESR1,ELACESTRANT,True,0.6042106314685826
ALB,OLMESARTAN MEDOXOMIL,True,0.5932249836236992
EGFR,DACOMITINIB ANHYDROUS,True,0.589105365681868
STAT3,CUCURBITACIN B,True,0.5800422062098393
UGT1A6,FEBUXOSTAT,True,0.5736681160317092
ERBB2,NERATINIB,True,0.5686688296174894
EGFR,ERLOTINIB,True,0.5680658883360871
JUN,CIPROFIBRATE,True,0.5674325930313644
TNF,PROCARBAZINE HYDROCHLORIDE,True,0.5613311672998444
TNF,CROMOLYN SODIUM,True,0.5613311672998444
RHOA,PRAVASTATIN SODIUM,True,0.5524211487712755
CARTPT,DEXTROAMPHETAMINE SULFATE,True,0.5495136690409003
HSPA5,NORGESTREL,True,0.5437895683217243
KRAS,SIMEPREVIR SODIUM,True,0.5437895683217243
KRAS,SOTORASIB,True,0.5437895683217243
IL2,BCG VACCINE,True,0.5437895683217243
KRAS,GLECAPREVIR,True,0.5437895683217243
IL2,DIETHYLSTILBESTROL DIPHOSPHATE,True,0.5437895683217243
UGT1A8,FEBUXOSTAT,True,0.5354235749629286
IL6,METRONIDAZOLE,True,0.5326918220294442
IL6,ECHINACEA PREPARATION,True,0.5326918220294442
IFNG,AMIKACIN,True,0.5326918220294442
KRAS,CETUXIMAB,True,0.5290925529616777
OCA2,ADEFOVIR DIPIVOXIL,True,0.5273110965543993
CDKN2A,RIBOCICLIB,True,0.5178948269730707
AKT1,CAPIVASERTIB,True,0.5146853379045052
IL1B,ECHINACEA PREPARATION,True,0.5118019466557404
MYC,QUINAPRIL,True,0.4971790338941478
KDM6A,VENETOCLAX,True,0.4745799868989594
UGT1A7,FEBUXOSTAT,True,0.4724325661437605
EGF,CETUXIMAB,True,0.4703044915214913
ERBB2,PERTUZUMAB,True,0.4691517844344287
ERBB2,TRASTUZUMAB,True,0.4675721487966024
IFNG,GANCICLOVIR,True,0.4661053442757636
IFNG,EMAPALUMAB,True,0.4661053442757636
CYP2A6,HALOTHANE,True,0.4613972094850994
ERBB2,DACOMITINIB ANHYDROUS,True,0.4549350636939915
MYC,THYROTROPIN,True,0.4474611305047331
PTGS2,LUMIRACOXIB,True,0.446186312469107
PTGS2,TOLMETIN,True,0.446186312469107
PTGS2,SALSALATE,True,0.446186312469107
PTGS2,ROBENACOXIB,True,0.446186312469107
PTGS2,PARECOXIB SODIUM,True,0.446186312469107
PTGS2,NEPAFENAC,True,0.446186312469107
PTGS2,PARECOXIB,True,0.446186312469107
UGT1A6,KETAMINE HYDROCHLORIDE,True,0.4386873828477775
UGT1A1,INDACATEROL,True,0.4350316546573794
UGT1A1,RALTEGRAVIR POTASSIUM,True,0.4350316546573794
UGT1A10,FEBUXOSTAT,True,0.4227028223391541
TNF,ETHAMBUTOL HYDROCHLORIDE,True,0.4209983754748833
MYCN,SONIDEGIB,True,0.4143158615784566
IL1B,RISEDRONIC ACID,True,0.4094415573245923
UGT1A8,KETAMINE HYDROCHLORIDE,True,0.4094415573245923
ERBB2,MARGETUXIMAB,True,0.4094415573245923
IL2,PEFLOXACIN,True,0.4078421762412932
UGT1A1,NILOTINIB,True,0.4078421762412932
HSPA4,ZALCITABINE,True,0.4046806089836087
HSPA4,THIABENDAZOLE,True,0.4046806089836087
FOS,BACLOFEN,True,0.4015676812221964
UGT1A4,FEBUXOSTAT,True,0.4015676812221964
IFNG,INTERFERON ALFA-2B,True,0.3995188665220832
ALB,SODIUM DODECYL SULFATE,True,0.3954833224157995
CYP2A6,PHENYTOIN SODIUM,True,0.3954833224157995
CARTPT,"INSULIN, REGULAR, HUMAN",True,0.3939909325198908
UGT1A6,ONDANSETRON HYDROCHLORIDE,True,0.392509763600643
UGT1A8,OXCARBAZEPINE,True,0.3866948041398928
TAT,TETRACYCLINE,True,0.3866948041398928
UGT1A7,MYCOPHENOLATE MOFETIL,True,0.3838514599918053
JUN,QUINAPRIL HYDROCHLORIDE,True,0.3782883953542429
JUN,AMINEPTIN,True,0.3782883953542429
UGT1A10,MYCOPHENOLATE,True,0.3746684107097048
TNF,TIMOLOL MALEATE,True,0.3742207781998963
RHOA,QUINIDINE,True,0.3728842754206109
UGT1A8,ONDANSETRON HYDROCHLORIDE,True,0.3663424460272669
ERBB2,LAPATINIB,True,0.3632142847234287
EGFR,NERATINIB,True,0.3625263788811495
UGT1A7,KETAMINE HYDROCHLORIDE,True,0.3612719623452285
HSP90AA1,TERCONAZOLE,True,0.3600261969578312
HSP90AA1,TOTAROL,True,0.3600261969578312
PTGS2,DIFLUNISAL,True,0.3569490499752856
IL6,LEVOFLOXACIN ANHYDROUS,True,0.3551278813529628
IL6,NELFINAVIR,True,0.3551278813529628
CARTPT,PROGESTERONE,True,0.3539240580263426
ERBB2,TIPIRACIL,True,0.3412012977704936
ERBB2,TBO-FILGRASTIM,True,0.3412012977704936
UGT1A7,OXCARBAZEPINE,True,0.3412012977704936
ERBB2,FAM-TRASTUZUMAB DERUXTECAN-NXKI,True,0.3412012977704936
OCA2,TENOFOVIR,True,0.3389857049278281
CYP2A6,CARBAMAZEPINE,True,0.3389857049278281
ALB,RALTITREXED,True,0.3389857049278281
PTGS2,MELOXICAM,True,0.3346397343518303
GAPDH,BRINZOLAMIDE,True,0.3346397343518303
PTGS2,DEXIBUPROFEN,True,0.3346397343518303
PTGS2,SUPROFEN,True,0.3346397343518303
UGT1A8,AXITINIB,True,0.3314526892627653
UGT1A1,ELTROMBOPAG,True,0.3262737409930346
UGT1A1,DESVENLAFAXINE SUCCINATE,True,0.3262737409930346
UGT1A7,ONDANSETRON HYDROCHLORIDE,True,0.3232433347299414
UGT1A10,KETAMINE HYDROCHLORIDE,True,0.3232433347299414
TNF,CERTOLIZUMAB PEGOL,True,0.3207606670284825
STAT3,PYRIMETHAMINE,True,0.3163866579326396
PTEN,CAPIVASERTIB,True,0.311148468231768
TH,VITAMIN E,True,0.3107368961838424
UGT1A4,KETAMINE HYDROCHLORIDE,True,0.3070811679934443
UGT1A10,OXCARBAZEPINE,True,0.3052853716893891
IL6,GALLIUM NITRATE,True,0.3043953268739681
RHOA,SIMVASTATIN,True,0.2983074203364887
MYC,AMIFOSTINE ANHYDROUS,True,0.2983074203364887
PTGS2,ROFECOXIB,True,0.2974575416460714
PTGS2,BROMFENAC,True,0.2974575416460714
PTGS2,SALICYLIC ACID,True,0.2974575416460714
CD4,ANTI-THYMOCYTE GLOBULIN,True,0.2966124918118496
UGT1A7,AXITINIB,True,0.2924582552318517
TAT,MITOMYCIN,True,0.2900211031049196
UGT1A10,ONDANSETRON HYDROCHLORIDE,True,0.2892177205478423
JUN,DIPHENHYDRAMINE HYDROCHLORIDE,True,0.2837162965156822
JUN,AZELASTINE HYDROCHLORIDE,True,0.2837162965156822
TNF,LACTULOSE,True,0.2806655836499222
TNF,MAGNESIUM SULFATE ANHYDROUS,True,0.2806655836499222
UGT1A7,MYCOPHENOLATE,True,0.2791646981758585
PTGS2,FLURBIPROFEN,True,0.2788664452931919
CDKN2A,TRAMETINIB DIMETHYL SULFOXIDE,True,0.27767977956854
TH,PRASTERONE,True,0.2762105743856377
TH,TRIAMTERENE,True,0.2762105743856377
CDKN2A,DABRAFENIB,True,0.2762105743856377
UGT1A4,ONDANSETRON HYDROCHLORIDE,True,0.2747568345204501
EGFR,AMIVANTAMAB,True,0.2718947841608621
EGFR,OLMUTINIB,True,0.2718947841608621
KRAS,PARITAPREVIR,True,0.2718947841608621
EGFR,OSIMERTINIB MESYLATE,True,0.2718947841608621
EGFR,MOBOCERTINIB SUCCINATE,True,0.2718947841608621
KRAS,GRAZOPREVIR,True,0.2718947841608621
EGFR,LAPATINIB,True,0.2718947841608621
HSPA4,UREA,True,0.2697870726557391
FN1,DACARBAZINE,True,0.2677117874814643
GAPDH,DICHLORPHENAMIDE,True,0.2677117874814642
GAPDH,DORZOLAMIDE,True,0.2677117874814642
CYP2A6,METHOXSALEN,True,0.2636555482771996
UGT1A10,AXITINIB,True,0.261673175733762
UGT1A4,IMIPRAMINE HYDROCHLORIDE,True,0.2610189927944276
TAT,VITAMIN A,True,0.2577965360932618
ERBB2,TUCATINIB,True,0.2559009733278702
PTGS2,KETOPROFEN,True,0.254963607125204
NKX2-5,LEVOTHYROXINE,True,0.2509798007638728
NKX2-5,INGENOL MEBUTATE,True,0.2509798007638728
FOS,URSODIOL,True,0.2509798007638728
TH,SERTRALINE HYDROCHLORIDE,True,0.2485895169470739
STAT3,OSIMERTINIB,True,0.2485895169470739
TAT,PREDNISOLONE,True,0.2485895169470739
UGT1A6,ALLOPURINOL,True,0.2485895169470739
TH,FLUTAMIDE,True,0.2485895169470739
ERBB2,AFATINIB,True,0.246423159500912
CARTPT,DEXAMETHASONE,True,0.2456649343947554
CYP2A6,FLUOROURACIL,True,0.2454724070167031
ESR1,ESTROGEN,True,0.2416842525874329
ESR1,ETHYLENEDIAMINE,True,0.2416842525874329
ESR1,ESTRIOL,True,0.2416842525874329
ESR1,"ESTROGENS, ESTERIFIED (USP)",True,0.2416842525874329
ESR1,BORIC ACID,True,0.2416842525874329
ESR1,IODINE,True,0.2416842525874329
ESR1,ESTETROL,True,0.2416842525874329
