gene,drug,approved,interaction_score
NTRK2,CYCLOSPORINE,True,0.02449157802434226
NTRK2,CLOZAPINE,True,0.02196667307337914
NTRK2,DIETHYLDITHIOCARBAMATE,False,0.3043953268739681
NTRK2,CENEGERMIN,True,0.2663459110147221
NTRK2,LINIFANIB,False,0.0133172955507361
NTRK2,DORAMAPIMOD,False,0.04632102800256037
NTRK2,AZD-6918,False,0.3551278813529628
NTRK2,ENTRECTINIB,True,0.1121456467430408
NTRK2,TAMATINIB,False,0.01315288449455417
NTRK2,PD-0166285,False,0.02048814700113247
NTRK2,SORAFENIB,True,0.009264205600512073
NTRK2,LITHIUM,True,0.05073255447899468
NTRK2,REPOTRECTINIB,True,0.07609883171849204
NTRK2,CRIZOTINIB,True,0.04261534576235553
NTRK2,DOXORUBICIN HYDROCHLORIDE,True,0.01439707627106606
NTRK2,UTATRECTINIB,False,0.2663459110147221
NTRK2,GW-2580,False,0.133172955507361
NTRK2,CHEMBL:CHEMBL546797,False,0.03329323887684026
NTRK2,CORTICOTROPIN,True,0.2663459110147221
NTRK2,CISPLATIN,True,0.01449501556542705
NTRK2,ZM447439,False,0.05607282337152044
NTRK2,PLX-7486,False,0.2663459110147221
NTRK2,METHADONE HYDROCHLORIDE,True,0.06266962612111109
NTRK2,AST-487,False,0.02598496692826557
NTRK2,SB202190,False,0.0295939901127469
NTRK2,BMS-754807,False,0.2367519209019752
NTRK2,PILOCARPINE HYDROCHLORIDE,True,0.1121456467430408
NTRK2,HESPERADIN,False,0.02663459110147221
NTRK2,LESTAURTINIB,False,0.1775639406764814
NTRK2,TALETRECTINIB,False,0.1065383644058888
NTRK2,CEP-2563 DIHYDROCHLORIDE,False,0.06266962612111109
NTRK2,GAMBOGIC AMIDE,False,0.3551278813529628
NTRK2,LAUROGUADINE,False,0.03804941585924602
NTRK2,PF-562271,False,0.009864663370915634
NTRK2,CENISERTIB,False,0.009028674949651597
NTRK2,JNJ-7706621,False,0.01937061171016161
NTRK2,ALTIRATINIB,False,0.1065383644058888
NTRK2,ALISERTIB,False,0.02219549258456017
NTRK2,TOZASERTIB,False,0.01459429649395737
NTRK2,DOVITINIB,False,0.01054835291147414
NTRK2,RG-1530,False,0.01133386855381796
NTRK2,SP-600125,False,0.0119706027422347
NTRK2,MK-2461,False,0.04439098516912035
NTRK2,LAROTRECTINIB SULFATE,True,0.3551278813529628
NTRK2,GW441756X,False,0.01639051760090597
NTRK2,LAROTRECTINIB,True,1.33172955507361
NTRK2,ILORASERTIB,False,0.009184341759128347
NTRK2,SELITRECTINIB,False,0.3551278813529628
NTRK2,SNS-314,False,0.02536627723949734
CDKN2A,RIBOCICLIB,True,0.5178948269730707
CDKN2A,PACLITAXEL,True,0.03389857049278282
CDKN2A,ULIXERTINIB,False,0.3728842754206109
CDKN2A,ALVOCIDIB,False,0.1775639406764813
CDKN2A,PF-04691502,False,0.3107368961838424
CDKN2A,ILORASERTIB,False,0.0160725980784746
CDKN2A,VEMURAFENIB,True,0.2015590677949248
CDKN2A,RONICICLIB,False,0.06658647775368053
CDKN2A,CETUXIMAB,True,0.1007795338974624
CDKN2A,SAPANISERTIB,True,0.1621235980089612
CDKN2A,TEMOZOLOMIDE,True,0.1775639406764813
CDKN2A,PF-00477736,False,0.9322106885515273
CDKN2A,HMN-214,False,1.864421377103054
CDKN2A,MILCICLIB,False,0.3389857049278281
CDKN2A,POLO-LIKE KINASE 1 INHIBITOR GSK461364,False,1.864421377103054
CDKN2A,COBIMETINIB,True,0.1962548818003215
CDKN2A,GEMCITABINE,True,0.04053089950224032
CDKN2A,PANITUMUMAB,True,0.09322106885515273
CDKN2A,BUPARLISIB,False,0.1491537101682443
