gene,drug,approved,interaction_score
TNFSF11,DENOSUMAB,True,43.50316546573794
PTGDS,ANTRAFENINE,True,26.10189927944276
GNG4,MOXETUMOMAB PASUDOTOX,True,8.700633093147589
LTF,BACITRACIN,True,8.700633093147589
LTF,PARECOXIB,True,6.525474819860691
GNG4,INOTUZUMAB OZOGAMICIN,True,6.525474819860691
DIO1,PROPYLTHIOURACIL,True,5.220379855888553
MYCN,DINUTUXIMAB,True,4.971790338941479
PPP1R1B,LUMATEPERONE,True,3.728842754206109
NPY1R,METOPROLOL TARTRATE,True,2.610189927944276
SLC7A5,MELPHALAN,True,2.610189927944276
PLCE1,HYDROCHLOROTHIAZIDE,True,2.269730372125458
JUN,BRUCEANTIN,True,2.269730372125457
TNFSF11,LENALIDOMIDE,True,2.007838406110982
PLAT,6-AMINOCAPROIC ACID,True,1.933474020699464
PLAT,TRANEXAMIC ACID,True,1.933474020699464
IGF2BP2,REPAGLINIDE,True,1.864421377103054
PPP1R1B,FLUOXETINE HYDROCHLORIDE,True,1.864421377103054
TGFB2,LUSPATERCEPT,True,1.864421377103054
HBB,BETIBEGLOGENE AUTOTEMCEL,True,1.800130984789156
HBB,CRIZANLIZUMAB,True,1.800130984789156
CCL18,FINAFLOXACIN,True,1.740126618629517
CCL18,GREPAFLOXACIN HYDROCHLORIDE,True,1.740126618629517
CCL18,GEMIFLOXACIN MESYLATE,True,1.740126618629517
CCL18,BESIFLOXACIN HYDROCHLORIDE,True,1.740126618629517
CCL18,CIPROFLOXACIN HYDROCHLORIDE,True,1.740126618629517
CCL18,DELAFLOXACIN MEGLUMINE,True,1.740126618629517
CCL18,OZENOXACIN,True,1.740126618629517
CCL18,ALATROFLOXACIN MESYLATE,True,1.740126618629517
PGR,ULIPRISTAL ACETATE,True,1.657263446313826
CTNNB1,FLUORESCEIN SODIUM,True,1.581933289663198
PTPRN2,OLANZAPINE,True,1.37378417260225
LAMC2,OCRIPLASMIN,True,1.37378417260225
PTGS2,ETORICOXIB,True,1.338558937407321
NTRK2,LAROTRECTINIB,True,1.33172955507361
SLC4A8,DEHYDRATED ALCOHOL,True,1.321615153389507
SLC7A5,GABAPENTIN,True,1.305094963972138
COCH,VINCRISTINE,True,1.288982680466309
PGR,MEGESTROL,True,1.242947584735369
EGFR,AFATINIB,True,1.223526528723879
SLPI,HEPARIN,True,1.223526528723879
UGDH,ASPIRIN,True,1.173119068739
JUN,SODIUM SELENITE,True,1.134865186062728
JUN,COPPER CHLORIDE,True,1.134865186062728
EGFR,MOBOCERTINIB,True,1.087579136643448
CDKN2A,PALBOCICLIB,True,1.02360389331148
FOS,MAGNESIUM SULFATE ANHYDROUS,True,1.003919203055491
LTF,RESERPINE,True,1.003919203055491
PGR,ETONOGESTREL,True,0.9943580677882957
PLAT,RETEPLASE,True,0.9667370103497321
PLAT,TENECTEPLASE,True,0.9667370103497321
HBB,VOXELOTOR,True,0.9000654923945781
PTGS2,OMEGA-3 FATTY ACIDS,True,0.8923726249382141
PTGS2,CARPROFEN,True,0.8923726249382141
PTGS2,VALDECOXIB,True,0.8923726249382141
PGR,PROGESTOGEN,True,0.8286317231569131
PGR,DESOGESTREL,True,0.8286317231569131
PGR,NOMEGESTROL,True,0.8286317231569131
PGR,DYDROGESTERONE,True,0.8286317231569131
PGR,ETHYNODIOL DIACETATE,True,0.8286317231569131
PGR,GESTODENE,True,0.8286317231569131
PGR,SEGESTERONE ACETATE,True,0.8286317231569131
CDKN2A,ABEMACICLIB,True,0.7850195272012861
SRC,TIRBANIBULIN,True,0.7733896082797855
CACNA1H,ETHOSUXIMIDE,True,0.7284250961704957
IGF2BP2,EPIRUBICIN,True,0.725052757762299
BMP7,PEGASPARGASE,True,0.6960506474518071
IGF2BP2,OXALIPLATIN,True,0.6868920863011254
EGFR,NECITUMUMAB,True,0.6797369604021554
PTGS2,ETODOLAC,True,0.6692794687036606
PGR,NORGESTIMATE,True,0.6629053785255304
ALDH1A3,MACITENTAN,True,0.6214737923676849
ADCY2,LITHIUM,True,0.6214737923676849
PGR,DROSPIRENONE,True,0.6214737923676849
ALDH1A3,BOSENTAN ANHYDROUS,True,0.6214737923676849
ALDH1A3,APROCITENTAN,True,0.6214737923676849
EGFR,CETUXIMAB,True,0.6172746451219573
CACNA1H,SODIUM BICARBONATE,True,0.6070209134754131
GJA1,BLEOMYCIN,True,0.5932249836236992
EGFR,DACOMITINIB ANHYDROUS,True,0.589105365681868
CCL18,TROVAFLOXACIN MESYLATE,True,0.5800422062098393
CCL18,ENOXACIN,True,0.5800422062098393
CCL18,SPARFLOXACIN,True,0.5800422062098393
ERBB2,NERATINIB,True,0.5686688296174894
EGFR,ERLOTINIB,True,0.5680658883360871
JUN,CIPROFIBRATE,True,0.5674325930313644
GJA1,SELENIUM,True,0.558329396351717
GJA1,EPIGALLOCATECHIN GALLATE,True,0.558329396351717
PGR,NORELGESTROMIN,True,0.5524211487712755
GJA1,LABETALOL,True,0.5273110965543993
CDKN2A,RIBOCICLIB,True,0.5178948269730707
AKT1,CAPIVASERTIB,True,0.5146853379045052
ALDH1A3,AMBRISENTAN,True,0.4971790338941479
MYC,QUINAPRIL,True,0.4971790338941478
GJA1,PROPYLTHIOURACIL,True,0.4745799868989593
PGR,LEVONORGESTREL,True,0.4735038418039504
ERBB2,PERTUZUMAB,True,0.4691517844344287
ERBB2,TRASTUZUMAB,True,0.4675721487966024
ERBB2,DACOMITINIB ANHYDROUS,True,0.4549350636939915
HBB,LUSPATERCEPT,True,0.450032746197289
MYC,THYROTROPIN,True,0.4474611305047331
PTGS2,ROBENACOXIB,True,0.446186312469107
PTGS2,TOLMETIN,True,0.446186312469107
PTGS2,NEPAFENAC,True,0.446186312469107
PTGS2,PARECOXIB,True,0.446186312469107
PTGS2,SALSALATE,True,0.446186312469107
PTGS2,PARECOXIB SODIUM,True,0.446186312469107
PTGS2,LUMIRACOXIB,True,0.446186312469107
SLC1A1,LIDOCAINE,True,0.4386873828477775
CCL18,NORFLOXACIN,True,0.4350316546573794
CCL18,PEFLOXACIN,True,0.4350316546573794
CCL18,MOXIFLOXACIN,True,0.4350316546573794
TUBA3D,PODOFILOX,True,0.4143158615784566
MYCN,SONIDEGIB,True,0.4143158615784566
PGR,ONAPRISTONE,True,0.4143158615784565
PGR,DIENOGEST,True,0.4143158615784565
PGR,NORETHYNODREL,True,0.4143158615784565
PGR,NORGESTREL,True,0.4143158615784565
ERBB2,MARGETUXIMAB,True,0.4094415573245923
CACNA1H,PHENSUXIMIDE,True,0.4046806089836087
CACNA1H,PARAMETHADIONE,True,0.4046806089836087
CACNA1H,METHSUXIMIDE,True,0.4046806089836087
FOS,BACLOFEN,True,0.4015676812221964
TUBA3D,COLCHICINE,True,0.3824454106878061
JUN,QUINAPRIL HYDROCHLORIDE,True,0.3782883953542429
JUN,AMINEPTIN,True,0.3782883953542429
NPY1R,ECONAZOLE NITRATE,True,0.372884275420611
SLC1A1,ASPARTIC ACID,True,0.3728842754206109
GJA1,ASCORBIC ACID,True,0.3650615283838149
GJA1,CARVEDILOL,True,0.3650615283838149
ERBB2,LAPATINIB,True,0.3632142847234287
EGFR,NERATINIB,True,0.3625263788811495
PLAT,UROKINASE,True,0.3625263788811495
PTGS2,DIFLUNISAL,True,0.3569490499752856
NTRK2,LAROTRECTINIB SULFATE,True,0.3551278813529628
PGR,MEDROXYPROGESTERONE,True,0.3551278813529628
GJA1,VITAMIN A,True,0.3515407310362662
PLAT,NAPROXEN SODIUM,True,0.3412012977704937
ERBB2,TBO-FILGRASTIM,True,0.3412012977704936
ERBB2,FAM-TRASTUZUMAB DERUXTECAN-NXKI,True,0.3412012977704936
ERBB2,TIPIRACIL,True,0.3412012977704936
PTGS2,DEXIBUPROFEN,True,0.3346397343518303
PTGS2,SUPROFEN,True,0.3346397343518303
GAPDH,BRINZOLAMIDE,True,0.3346397343518303
PTGS2,MELOXICAM,True,0.3346397343518303
PGR,NORETHINDRONE,True,0.3314526892627652
BMP7,THIOGUANINE,True,0.3163866579326396
NPY1R,METHADONE HYDROCHLORIDE,True,0.3070811679934443
CACNA1H,TRIMETHADIONE,True,0.3035104567377065
MYC,AMIFOSTINE ANHYDROUS,True,0.2983074203364887
PTGS2,BROMFENAC,True,0.2974575416460714
PTGS2,SALICYLIC ACID,True,0.2974575416460714
PTGS2,ROFECOXIB,True,0.2974575416460714
CCL18,LEVOFLOXACIN ANHYDROUS,True,0.2900211031049196
PLAT,MELPHALAN,True,0.2900211031049196
JUN,DIPHENHYDRAMINE HYDROCHLORIDE,True,0.2837162965156822
JUN,AZELASTINE HYDROCHLORIDE,True,0.2837162965156822
PTGS2,FLURBIPROFEN,True,0.2788664452931919
FGFR4,PALIFERMIN,True,0.27767977956854
CDKN2A,TRAMETINIB DIMETHYL SULFOXIDE,True,0.27767977956854
FGFR4,INFIGRATINIB PHOSPHATE,True,0.27767977956854
CDKN2A,DABRAFENIB,True,0.2762105743856377
PGR,ALLYLESTRENOL,True,0.2762105743856377
PGR,CHLORMADINONE ACETATE,True,0.2762105743856377
EGFR,AMIVANTAMAB,True,0.2718947841608621
EGFR,LAPATINIB,True,0.2718947841608621
EGFR,OSIMERTINIB MESYLATE,True,0.2718947841608621
ABCA4,SILODOSIN,True,0.2718947841608621
EGFR,OLMUTINIB,True,0.2718947841608621
EGFR,MOBOCERTINIB SUCCINATE,True,0.2718947841608621
TUBA3D,PACLITAXEL,True,0.2711885639422625
GAPDH,DICHLORPHENAMIDE,True,0.2677117874814642
GAPDH,DORZOLAMIDE,True,0.2677117874814642
NTRK2,CORTICOTROPIN,True,0.2663459110147221
NTRK2,CENEGERMIN,True,0.2663459110147221
GJA1,ATENOLOL,True,0.2636555482771996
ERBB2,TUCATINIB,True,0.2559009733278702
PTGS2,KETOPROFEN,True,0.254963607125204
FOS,URSODIOL,True,0.2509798007638728
CCL18,GATIFLOXACIN ANHYDROUS,True,0.2485895169470739
ERBB2,AFATINIB,True,0.246423159500912
BMP7,PREDNISONE,True,0.2320168824839356
ERBB2,NERATINIB MALEATE,True,0.2274675318469957
MYCN,EFLORNITHINE,True,0.2259904699518854
IGF2BP2,FLUOROURACIL,True,0.2250163730986445
PTGS2,BENZYDAMINE HYDROCHLORIDE,True,0.2230931562345535
PTGS2,FLURBIPROFEN SODIUM,True,0.2230931562345535
PTGS2,FENOPROFEN CALCIUM,True,0.2230931562345535
PTGS2,LOXOPROFEN,True,0.2230931562345535
PTGS2,CLOMETACIN,True,0.2230931562345535
PTGS2,ACEMETACIN,True,0.2230931562345535
PTGS2,ISOXICAM,True,0.2230931562345535
PTGS2,DICLOFENAC POTASSIUM,True,0.2230931562345535
PTGS2,OXAPROZIN,True,0.2230931562345535
PTGS2,FENCLOFENAC,True,0.2230931562345535
PTGS2,AMINOSALICYLIC ACID,True,0.2230931562345535
PTGS2,DICLOFENAC EPOLAMINE,True,0.2230931562345535
GAPDH,METHOCARBAMOL,True,0.2230931562345535
PTGS2,OXAPROZIN POTASSIUM,True,0.2230931562345535
PTGS2,IBUPROFEN LYSINE,True,0.2230931562345535
PTGS2,NABUMETONE,True,0.2230931562345535
PTGS2,ALOXIPRIN,True,0.2230931562345535
PTGS2,PIRPROFEN,True,0.2230931562345535
PTGS2,INDOMETHACIN SODIUM,True,0.2230931562345535
PTGS2,BROMFENAC SODIUM,True,0.2230931562345535
TUBA3D,VINBLASTINE,True,0.2193436914238887
ABCA4,DAPIPRAZOLE,True,0.2175158273286897
FOS,PILOCARPINE HYDROCHLORIDE,True,0.211351411169577
FOS,NIMODIPINE,True,0.211351411169577
NRG1,PROGESTIN,True,0.2109244386217597
PGR,MEGESTROL ACETATE,True,0.2071579307892282
PGR,HYDROXYPROGESTERONE CAPROATE (USP),True,0.2071579307892282
PGR,PERTUZUMAB,True,0.2071579307892282
JUN,CINNARIZINE,True,0.206339124738678
JUN,EFLORNITHINE,True,0.206339124738678
MYC,ESTRONE,True,0.2033914229566968
CACNA1H,OXATOMIDE,True,0.2023403044918043
CACNA1H,NAFTOPIDIL,True,0.2023403044918043
CDKN2A,VEMURAFENIB,True,0.2015590677949248
CDKN2A,COBIMETINIB,True,0.1962548818003215
SRC,INTERLEUKIN-11,True,0.1933474020699463
TUBA3D,VINORELBINE,True,0.191222705343903
JUN,TRIFLUPROMAZINE HYDROCHLORIDE,True,0.1891441976771214
JUN,MECHLORETHAMINE HYDROCHLORIDE,True,0.1891441976771214
MYC,GLUTAMINE,True,0.1864421377103054
MYC,CALCITRIOL,True,0.1864421377103054
PGR,GOSERELIN ACETATE,True,0.1841403829237584
EGFR,NERATINIB MALEATE,True,0.1812631894405747
EGFR,ERLOTINIB HYDROCHLORIDE,True,0.1812631894405747
ABCA4,METHOXAMINE,True,0.1812631894405747
PTGS2,FENOPROFEN,True,0.1784745249876428
CDKN2A,TEMOZOLOMIDE,True,0.1775639406764813
EGFR,PANITUMUMAB,True,0.1767316097045603
JUN,GEMFIBROZIL,True,0.1745946440096506
CACNA1H,MIBEFRADIL DIHYDROCHLORIDE,True,0.1734345467072609
PLAT,EPOETIN ALFA,True,0.1706006488852468
ERBB2,ELACESTRANT,True,0.1706006488852468
SRC,BOSUTINIB,True,0.1681281757129968
PTGS2,KETOROLAC TROMETHAMINE,True,0.1673198671759151
GAPDH,HISTIDINE,True,0.1673198671759151
FOS,THROMBIN,True,0.1673198671759151
CDKN2A,SAPANISERTIB,True,0.1621235980089612
ERBB2,ADO-TRASTUZUMAB EMTANSINE,True,0.1605653165978793
CCL18,CIPROFLOXACIN,True,0.1581933289663198
GAPDH,DEFEROXAMINE,True,0.1574775220479201
GAPDH,SELENIUM,True,0.1574775220479201
PTGS2,NAPROXEN SODIUM,True,0.1574775220479201
