gene,drug,approved,interaction_score
TGFB2,BELAGENPUMATUCEL-L,False,14.91537101682443
TGFB2,TRABEDERSEN,False,7.457685508412219
TGFB2,LERDELIMUMAB,False,14.91537101682443
TGFB2,BINTRAFUSP ALFA,False,1.491537101682443
TGFB2,FRESOLIMUMAB,False,2.485895169470739
TGFB2,LUSPATERCEPT,True,1.864421377103054
TGFB2,GEMOGENOVATUCEL-T,False,3.728842754206109
DSG3,COMPOUND 66 [PMID: 19788238],False,4.745799868989594
GALC,BUSULFAN,True,8.242705035613506
PLCE1,HYDROCHLOROTHIAZIDE,True,2.269730372125458
ACSS3,ANTIDEPRESSANT AGENT,False,2.007838406110982
DSC3,RIPK3 INHIBITOR 18,False,2.610189927944276
DSC3,COMPOUND 66 [PMID: 19788238],False,2.372899934494797
ABCA4,[125I]HEAT (BE2254),False,0.3625263788811495
ABCA4,PRAZOSIN,True,0.07250527577622991
ABCA4,PHENOXYBENZAMINE,True,0.09887083060394987
ABCA4,UPIDOSIN,False,0.3625263788811495
ABCA4,RISPERIDONE,True,0.01623252442751415
ABCA4,MIANSERIN,False,0.06042106314685825
ABCA4,A-119637,False,0.3625263788811495
ABCA4,NAN 190,False,0.135947392080431
ABCA4,CLONIDINE HYDROCHLORIDE,True,0.08365993358795759
ABCA4,LABETALOL,True,0.06042106314685825
ABCA4,(+)-CYCLAZOSIN,False,0.3625263788811495
ABCA4,5-METHYLURAPIDIL,False,0.3625263788811495
ABCA4,NS-49,False,0.3625263788811495
ABCA4,BMY-7378,False,0.2175158273286897
ABCA4,SPIROXATRINE,False,0.1087579136643448
ABCA4,CLOZAPINE,True,0.0112121560478706
ABCA4,DAPIPRAZOLE,True,0.2175158273286897
ABCA4,OXYMETAZOLINE HYDROCHLORIDE,True,0.05437895683217243
ABCA4,RX18,False,1.087579136643448
ABCA4,CYPROHEPTADINE HYDROCHLORIDE,True,0.09063159472028738
ABCA4,RS-100329,False,0.2718947841608621
ABCA4,A-123189,False,0.3625263788811495
ABCA4,RITANSERIN,False,0.04943541530197493
ABCA4,DOXAZOSIN MESYLATE,True,0.09063159472028738
ABCA4,RO-70-0004,False,0.3625263788811495
ABCA4,KETANSERIN,False,0.04728604941928038
ABCA4,EPINEPHRINE,True,0.02718947841608621
ABCA4,TAMSULOSIN HYDROCHLORIDE,True,0.1208421262937165
ABCA4,ALFUZOSIN,True,0.1208421262937165
ABCA4,TERAZOSIN,True,0.08365993358795759
ABCA4,SILODOSIN,True,0.2718947841608621
ABCA4,(+)-ADRENALINE,False,0.3625263788811495
ABCA4,NIGULDIPINE,False,0.135947392080431
ABCA4,NOREPINEPHRINE,True,0.03398684802010777
ABCA4,PHENYLEPHRINE,True,0.06797369604021554
ABCA4,SNAP5089,False,0.5437895683217243
ABCA4,MT-1207,False,0.2718947841608621
ABCA4,PHENTOLAMINE,True,0.07250527577622991
ABCA4,DIBENAMINE,False,1.087579136643448
ABCA4,RS-17053,False,0.1208421262937165
ABCA4,WB 4101,False,0.1553684480919212
ABCA4,HEAT (BE2254),False,0.3625263788811495
ABCA4,(S)-41,False,1.087579136643448
ABCA4,INDORAMIN,False,0.3625263788811495
ABCA4,METHOXAMINE,True,0.1812631894405747
ABCA4,SKF 105854,False,1.087579136643448
ABCA4,CIRAZOLINE,False,0.2175158273286897
ABCA4,SPIPERONE,False,0.05724100719176045
TGFBR3,RECOMBINANT RANTES,False,2.175158273286897
TGFBR3,TRETINOIN,True,0.1434170290079272
TGFBR3,RECOMBINANT FIBROBLAST GROWTH FACTOR 2,False,1.186449967247398
TGFBR3,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA-2,False,2.610189927944276
TGFBR3,RECOMBINANT CYTOKINE,False,0.5019596015277455
TGFBR3,DEXAMETHASONE,True,0.1535405839967221
TGFBR3,GM-CSF,False,0.8156843524825864
TGFBR3,ANTIDEPRESSANT AGENT,False,0.2509798007638728
FABP7,CRT 0066101,False,8.700633093147589
FABP7,BPKDI,False,8.700633093147589
C5,NOMACOPAN,False,1.087579136643448
C5,CA2+,False,0.08156843524825864
C5,FLUFENAMIC ACID,False,0.08586151078764068
C5,ECULIZUMAB,True,1.483062459059248
C5,OCTANOL,False,0.1553684480919212
C5,RAVULIZUMAB,True,0.3625263788811495
C5,VILOBELIMAB,True,3.262737409930345
C5,ZILUCOPLAN,True,0.3625263788811495
C5,CROVALIMAB,True,3.262737409930345
C5,TESIDOLUMAB,False,3.262737409930345
C5,CARBENOXOLONE,False,0.135947392080431
C5,OLENDALIZUMAB,False,3.262737409930345
C5,PEXELIZUMAB,False,3.262737409930345
C5,AVACINCAPTAD PEGOL,True,3.262737409930345
C5,POZELIMAB,True,3.262737409930345
C5,ZILUCOPLAN SODIUM,True,3.262737409930345
UGDH,ASPIRIN,True,1.173119068739
