gene,drug,approved,interaction_score
GALC,BUSULFAN,True,8.242705035613506
C5,ZILUCOPLAN SODIUM,True,3.262737409930345
C5,POZELIMAB,True,3.262737409930345
C5,AVACINCAPTAD PEGOL,True,3.262737409930345
C5,CROVALIMAB,True,3.262737409930345
C5,VILOBELIMAB,True,3.262737409930345
PLCE1,HYDROCHLOROTHIAZIDE,True,2.269730372125458
TGFB2,LUSPATERCEPT,True,1.864421377103054
C5,ECULIZUMAB,True,1.483062459059248
UGDH,ASPIRIN,True,1.173119068739
C5,ZILUCOPLAN,True,0.3625263788811495
C5,RAVULIZUMAB,True,0.3625263788811495
ABCA4,SILODOSIN,True,0.2718947841608621
ABCA4,DAPIPRAZOLE,True,0.2175158273286897
ABCA4,METHOXAMINE,True,0.1812631894405747
TGFBR3,DEXAMETHASONE,True,0.1535405839967221
TGFBR3,TRETINOIN,True,0.1434170290079272
ABCA4,TAMSULOSIN HYDROCHLORIDE,True,0.1208421262937165
ABCA4,ALFUZOSIN,True,0.1208421262937165
ABCA4,PHENOXYBENZAMINE,True,0.09887083060394987
ABCA4,DOXAZOSIN MESYLATE,True,0.09063159472028738
ABCA4,CYPROHEPTADINE HYDROCHLORIDE,True,0.09063159472028738
ABCA4,CLONIDINE HYDROCHLORIDE,True,0.08365993358795759
ABCA4,TERAZOSIN,True,0.08365993358795759
ABCA4,PHENTOLAMINE,True,0.07250527577622991
ABCA4,PRAZOSIN,True,0.07250527577622991
ABCA4,PHENYLEPHRINE,True,0.06797369604021554
ABCA4,LABETALOL,True,0.06042106314685825
ABCA4,OXYMETAZOLINE HYDROCHLORIDE,True,0.05437895683217243
ABCA4,NOREPINEPHRINE,True,0.03398684802010777
ABCA4,EPINEPHRINE,True,0.02718947841608621
ABCA4,RISPERIDONE,True,0.01623252442751415
ABCA4,CLOZAPINE,True,0.0112121560478706
