Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),17/93,8.79427167913709e-25,1.3103464801914265e-21,0,0,77.89704524469067,4314.758369219256,RPL4;RPL5;RPS9;RPS5;RPS6;RPL11;RPS14;RPS16;RPS18;RPS3;RACK1;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),17/234,1.0201672879842187e-17,7.600246295482429e-15,0,0,27.08812353464306,1059.7952023023252,RPL4;RPL5;RPS9;RPS5;RPS6;RPL11;RPS14;RPS16;RPS18;RPS3;RACK1;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),15/158,1.8070397608712788e-17,8.974964145660687e-15,0,0,35.17186203626881,1355.95464911663,RPL4;RPL5;RPS9;RPS5;RPS6;RPL11;RPS14;RPS16;RPS18;RPS3;FAU;RPS2;RPS27A;RPS11;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),15/183,1.6806703211844502e-16,6.260496946412077e-14,0,0,29.900121065375306,1086.0372436805824,RPL4;RPL5;RPS9;RPS5;RPS6;RPL11;RPS14;RPS16;RPS18;RPS3;FAU;RPS2;RPS27A;RPS11;RPS23
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),19/480,7.45286267527519e-15,2.2209530772320066e-12,0,0,14.586274896470124,474.49412143187993,MED1;CD74;APP;RPL5;HDAC1;RPL11;STAT3;FN1;BRCA1;TNF;IL6;IL36B;IL1B;MYC;RPS3;AKT1;EP300;TP53;GAPDH
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),17/364,1.6242194240282524e-14,4.033478236336827e-12,0,0,16.8281005106426,534.311778381229,MED1;CD74;APP;RPL5;HDAC1;RPL11;STAT3;FN1;BRCA1;TNF;IL6;IL36B;IL1B;MYC;RPS3;AKT1;TP53
GO_Biological_Process_2023,Gene Expression (GO:0010467),15/296,2.0916062342928186e-13,4.4521332701375713e-11,0,0,17.77399119367875,518.9236508803075,RPL4;RPL5;RPS9;RPS5;RPS6;RPL11;RPS14;RPS16;RPS18;RPS3;FAU;RPS2;RPS27A;RPS11;RPS23
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),20/705,6.626503121187039e-13,1.2341862063210858e-10,0,0,10.403352257366857,291.7363071306561,MED1;CD74;HSP90AA1;SRC;HDAC1;RPS6;PLK1;TNF;EGFR;ACTB;IL6;MYC;ALB;BCL2;CDK1;RPS3;RACK1;AKT1;CTNNB1;TP53
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),17/525,5.94301072420633e-12,9.838984421186035e-10,0,0,11.4002624671916,294.68316437072144,CD74;APP;HSP90AA1;HSP90AB1;SRC;FN1;TNF;RHOA;EGFR;CD4;IL6;IL1B;RPS3;RACK1;EP300;TP53;GAPDH
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),17/557,1.5107366184649436e-11,2.2509975615127653e-09,0,0,10.70701754385965,266.7743216981924,MED1;CD74;HDAC1;STAT3;BRCA1;TNF;EGFR;CD4;IL6;CDH1;IL1B;MYC;AKT1;CTNNB1;EP300;TP53;FOXA2
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),10/118,1.8139176797901787e-11,2.457033948079424e-09,0,0,28.671875,709.139966278405,RPL5;RPS14;RPS9;RPS16;RPS5;RPS6;MRTO4;RPL11;RPS11;RPS23
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),14/377,9.204807126452329e-11,1.1429302182011644e-08,0,0,12.574931129476584,290.59043877312376,CD74;APP;HSP90AA1;HSP90AB1;SRC;PLK1;TNF;EGFR;CD4;IL6;IL1B;RACK1;AKT1;TP53
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),14/381,1.0577420706959476e-10,1.2123351425668938e-08,0,0,12.435331516802906,285.6360136059911,MED1;CD74;SRC;HDAC1;PLK1;EGFR;IL6;MYC;ALB;BCL2;CDK1;AKT1;CTNNB1;TP53
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),15/482,2.1432224342269162e-10,2.281001019284361e-08,0,0,10.593583275868326,235.8506694879391,MED1;CD74;SRC;HDAC1;PLK1;TNF;EGFR;IL6;MYC;ALB;BCL2;CDK1;AKT1;CTNNB1;TP53
