Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Coronavirus disease,23/232,4.904726450315658e-27,1.0103736487650255e-24,0,0,42.54536072802327,2577.3808577069685,RPL4;RPL5;RPS9;MMP1;RPL23;RPS5;RPS6;RPL11;STAT3;TNF;EGFR;RPS14;IL6;RPS16;RPS18;IL1B;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
KEGG_2021_Human,Ribosome,17/158,1.174123213367625e-20,1.2093469097686538e-18,0,0,41.84957073534901,1920.5261915829951,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS18;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
KEGG_2021_Human,Shigellosis,16/246,5.99428787444922e-16,4.1160776737884654e-14,0,0,23.62338830584708,828.012859124846,SRC;TNF;RHOA;EGFR;ACTB;CDC42;H3C13;IL1B;UBC;H3C12;BCL2;AKT1;RPS27A;TP53;UBA52;H3-3B
KEGG_2021_Human,Pathways in cancer,20/531,3.309984046593031e-15,1.7046417839954112e-13,0,0,14.071899688338044,469.1829297572502,HSP90AA1;HSP90AB1;CALML5;MMP1;HDAC1;WNT7B;STAT3;FN1;ADCY2;RHOA;EGFR;CDC42;IL6;CDH1;MYC;BCL2;AKT1;CTNNB1;EP300;TP53
KEGG_2021_Human,Proteoglycans in cancer,14/205,2.3999628288659613e-14,9.887846854927762e-13,0,0,24.109075043630018,756.0783871350876,SRC;WNT7B;RPS6;STAT3;FN1;TNF;RHOA;EGFR;ACTB;CDC42;MYC;AKT1;CTNNB1;TP53
KEGG_2021_Human,Lipid and atherosclerosis,14/215,4.6440937813475054e-14,1.5944721982626437e-12,0,0,22.89800995024876,702.9825308005642,HSP90AA1;HSP90AB1;CALML5;MMP1;SRC;STAT3;TNF;RHOA;CDC42;IL6;IL1B;BCL2;AKT1;TP53
KEGG_2021_Human,Fluid shear stress and atherosclerosis,12/139,1.190683637808677e-13,3.504011848408392e-12,0,0,30.17373634747269,897.9425910528294,HSP90AA1;HSP90AB1;CALML5;SRC;IL1B;BCL2;AKT1;CTNNB1;TP53;TNF;RHOA;ACTB
KEGG_2021_Human,Salmonella infection,14/249,3.4991519360757705e-13,9.010316235395108e-12,0,0,19.55134751773049,560.7538712384644,HSP90AA1;HSP90AB1;TNF;RHOA;ACTB;CDC42;IL6;IL1B;MYC;BCL2;RPS3;AKT1;CTNNB1;GAPDH
KEGG_2021_Human,Human cytomegalovirus infection,13/225,1.865052187432597e-12,4.2688972290123885e-11,0,0,19.817661614599444,535.2300953528105,CALML5;SRC;STAT3;ADCY2;TNF;RHOA;EGFR;IL6;IL1B;MYC;AKT1;CTNNB1;TP53
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,12/193,6.017245497017904e-12,1.2395525723856884e-10,0,0,21.1138834432365,545.5065591461456,IL6;CALML5;SRC;MYC;STAT3;UBC;AKT1;CTNNB1;EP300;RPS27A;TP53;UBA52
KEGG_2021_Human,Yersinia infection,10/137,8.074074358655638e-11,1.5120539253482374e-09,0,0,24.35900590551181,566.0978844513983,CDC42;CD4;IL6;SRC;IL1B;FN1;AKT1;TNF;RHOA;ACTB
KEGG_2021_Human,Adherens junction,8/71,2.1009671029341542e-10,3.606660193370299e-09,0,0,38.21645021645022,851.5944785695559,CDC42;CDH1;SRC;EP300;CTNNB1;ACTB;RHOA;EGFR
KEGG_2021_Human,Rap1 signaling pathway,11/210,3.0829573793082104e-10,4.885301693365318e-09,0,0,17.308526760788066,379.0560715099557,CDC42;EFNA2;CALML5;CDH1;SRC;AKT1;CTNNB1;ADCY2;RHOA;EGFR;ACTB
KEGG_2021_Human,Thyroid hormone signaling pathway,9/121,6.38156450954952e-10,9.390016349765724e-09,0,0,24.49532967032967,518.6258399582565,MED1;SRC;HDAC1;MYC;AKT1;CTNNB1;EP300;TP53;ACTB
KEGG_2021_Human,Tuberculosis,10/180,1.1845936664501794e-09,1.6268419685915798e-08,0,0,18.15808823529412,373.2189127434688,CD74;IL6;CALML5;SRC;IL1B;BCL2;AKT1;EP300;TNF;RHOA
KEGG_2021_Human,IL-17 signaling pathway,8/94,2.0545455410296518e-09,2.645227384075677e-08,0,0,27.96335447498238,559.3568843433821,HSP90AA1;IL6;MMP13;HSP90AB1;MMP1;IL1B;TNF;CXCL5
KEGG_2021_Human,Prostate cancer,8/97,2.6439979521429612e-09,3.203903400832058e-08,0,0,27.016683690841,533.6058087549975,HSP90AA1;HSP90AB1;BCL2;AKT1;CTNNB1;EP300;TP53;EGFR
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,8/100,3.374591381038146e-09,3.862032358299212e-08,0,0,26.131752305665348,509.75187251702727,CDC42;IL6;IL1B;STAT3;FN1;BCL2;AKT1;TNF
KEGG_2021_Human,Viral carcinogenesis,10/203,3.7959200275852135e-09,4.1155764509608114e-08,0,0,15.975550518134716,309.75536509066296,CDC42;SRC;HDAC1;STAT3;CDK1;EP300;H4C1;TP53;H4C3;RHOA
KEGG_2021_Human,PI3K-Akt signaling pathway,12/354,6.4346734020892195e-09,6.581745802215354e-08,0,0,11.083191850594227,209.0463407327778,HSP90AA1;IL6;EFNA2;HSP90AB1;MYC;RPS6;FN1;BCL2;AKT1;BRCA1;TP53;EGFR
KEGG_2021_Human,HIF-1 signaling pathway,8/109,6.709546691578758e-09,6.581745802215354e-08,0,0,23.792379237923797,447.7662590816571,IL6;RPS6;STAT3;BCL2;AKT1;EP300;GAPDH;EGFR
