Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Peptide Chain Elongation R-HSA-156902,16/86,1.7216601653154246e-23,5.502394857543428e-21,0,0,78.25024630541871,4101.5780643022335,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Signaling By ROBO Receptors R-HSA-376176,20/209,3.434932414130624e-23,5.502394857543428e-21,0,0,38.67724867724868,2000.5984750732853,RPL4;RPL5;RPS9;SRC;RPL23;RPS5;RPS6;RPL11;RHOA;CDC42;RPS14;RPS16;UBC;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Eukaryotic Translation Elongation R-HSA-156842,16/90,3.781714678724005e-23,5.502394857543428e-21,0,0,74.00559179869525,3820.855391928156,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Eukaryotic Translation Termination R-HSA-72764,16/90,3.781714678724005e-23,5.502394857543428e-21,0,0,74.00559179869525,3820.855391928156,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Selenocysteine Synthesis R-HSA-2408557,16/90,3.781714678724005e-23,5.502394857543428e-21,0,0,74.00559179869525,3820.855391928156,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Viral mRNA Translation R-HSA-192823,16/90,3.781714678724005e-23,5.502394857543428e-21,0,0,74.00559179869525,3820.855391928156,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,16/92,5.524190000889957e-23,6.889454101109903e-21,0,0,72.0508166969147,3692.627448607468,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Developmental Biology R-HSA-1266738,33/1073,1.008193846180694e-22,1.1001915346446824e-20,0,0,14.616275797373358,740.2955373370603,RPL4;RPL5;HSP90AB1;SRC;RPL11;TNF;EGFR;CDC42;RPS14;RPS16;H3C13;MYC;UBC;RPS3;AKT1;EP300;RPS2;RPS27A;RPS11;H3-3B;HSP90AA1;RPS9;RPL23;RPS5;RPS6;STAT3;RHOA;EFNA2;CTNNB1;FAU;UBA52;RPS23;FOXA2
Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,16/98,1.633596180044294e-22,1.4261294651786686e-20,0,0,66.75862068965517,3349.0188546830464,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,16/98,1.633596180044294e-22,1.4261294651786686e-20,0,0,66.75862068965517,3349.0188546830464,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,16/108,8.535948145549824e-22,5.828116804663326e-20,0,0,59.472263868065966,2885.153292122791,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,16/108,8.535948145549824e-22,5.828116804663326e-20,0,0,59.472263868065966,2885.153292122791,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Influenza Viral RNA Transcription And Replication R-HSA-168273,17/137,9.538423092294182e-22,5.828116804663326e-20,0,0,49.22543859649123,2382.5872256683265,RPL4;RPL5;HSP90AA1;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,16/109,9.977146965098186e-22,5.828116804663326e-20,0,0,58.82981090100111,2844.8081555196486,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,28/722,1.0013946399765164e-21,5.828116804663326e-20,0,0,16.868061646410226,815.6195847053341,RPL4;RPL5;HSP90AB1;RPL11;RPS14;RPS16;H3C13;MYC;UBC;RPS3;AKT1;EP300;RPS2;RPS27A;RPS11;H3-3B;HSP90AA1;RPS9;RPL23;RPS5;RPS6;STAT3;IL6;ALB;FAU;TP53;UBA52;RPS23
Reactome_2022,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,16/112,1.5785197043025789e-21,8.612798136600948e-20,0,0,56.98275862068966,2729.3487440091917,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,28/736,1.6772871981978834e-21,8.613363082510307e-20,0,0,16.522476050110537,790.3874915190827,RPL4;RPL5;HSP90AB1;RPL11;RPS14;RPS16;H3C13;MYC;UBC;RPS3;AKT1;EP300;RPS2;RPS27A;RPS11;H3-3B;HSP90AA1;RPS9;RPL23;RPS5;RPS6;STAT3;IL6;ALB;FAU;TP53;UBA52;RPS23
Reactome_2022,Selenoamino Acid Metabolism R-HSA-2408522,16/114,2.1274376268157198e-21,1.031807249005624e-19,0,0,55.81421534130894,2656.72141414247,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Disease R-HSA-1643685,38/1736,2.3964789622298875e-21,1.1011190179087852e-19,0,0,11.331370239497447,538.0167041832607,RPL4;APP;RPL5;HSP90AB1;SRC;HDAC1;RPL11;ADCY2;BRCA1;EGFR;CDC42;RPS14;RPS16;H3C13;MYC;UBC;RPS3;AKT1;EP300;RPS2;RPS27A;RPS11;H3-3B;HSP90AA1;RPS9;RPL23;RPS5;RPS6;STAT3;FN1;CD4;IL6;IL1B;CTNNB1;FAU;TP53;UBA52;RPS23
Reactome_2022,Cap-dependent Translation Initiation R-HSA-72737,16/116,2.851008340553947e-21,1.2444651406517976e-19,0,0,54.69241379310345,2587.3129199323084,RPL4;RPL5;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Influenza Infection R-HSA-168255,17/157,1.0506342500114072e-20,4.367636667904565e-19,0,0,42.15062656641604,1939.0260985544,RPL4;RPL5;HSP90AA1;RPS9;RPL23;RPS5;RPS6;RPL11;RPS14;RPS16;RPS3;FAU;RPS2;RPS27A;RPS11;UBA52;RPS23
Reactome_2022,Infectious Disease R-HSA-5663205,30/961,1.1229375501610737e-20,4.456020369502808e-19,0,0,13.910995020017577,639.0120422899644,RPL4;RPL5;HSP90AB1;SRC;HDAC1;RPL11;ADCY2;EGFR;CDC42;RPS14;RPS16;H3C13;UBC;RPS3;AKT1;RPS2;RPS27A;RPS11;HSP90AA1;RPS9;RPL23;RPS5;RPS6;CD4;IL6;IL1B;CTNNB1;FAU;UBA52;RPS23
