Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),9/49,2.3537755152595467e-12,3.6483520486522973e-09,0,0,49.104395604395606,1314.7702156194694,JUN;TGFB2;MYCN;MYC;FOS;TNF;TP53;EGFR;NFKB1
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),9/59,1.381787805023064e-11,1.0708855488928744e-08,0,0,39.26373626373626,981.79199673406,JUN;TGFB2;MYCN;MYC;FOS;TNF;TP53;ESR1;EGFR
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),8/43,3.6862284799402856e-11,1.9045513813024807e-08,0,0,49.35403726708075,1185.673108696565,JUN;TGFB2;MYCN;MYC;FOS;TNF;TP53;EGFR
GO_Biological_Process_2023,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),10/117,3.5342289920209207e-10,1.3695137344081069e-07,0,0,20.55347871235722,447.3126693494488,TCL1B;IFNG;SRC;IL1B;ERBB2;AKT1;TNFSF11;TNF;EGFR;RHOA
GO_Biological_Process_2023,Regulation Of Telomerase Activity (GO:0051972),7/45,2.4518770937226966e-09,7.569069891834597e-07,0,0,39.34182229767968,780.0071755422756,HSP90AA1;HSP90AB1;SRC;MYC;CTNNB1;TP53;MAPK3
GO_Biological_Process_2023,Regulation Of Calcidiol 1-Monooxygenase Activity (GO:0060558),4/5,2.9299625387746827e-09,7.569069891834597e-07,0,0,829.125,16290.877003827774,IFNG;IL1B;TNF;NFKB1
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),6/27,3.649133337536311e-09,8.080223818830402e-07,0,0,60.422492401215806,1173.935078642783,HSP90AA1;HSP90AB1;IFNG;IL1B;AKT1;TNF
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),6/28,4.625672071844851e-09,8.962239639199397e-07,0,0,57.67311411992263,1106.841884002455,HSP90AA1;HSP90AB1;IFNG;IL1B;AKT1;TNF
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),14/377,5.72577805912336e-09,9.861062212934677e-07,0,0,8.761547824972773,166.27917261422286,TGFB2;HSP90AA1;HSP90AB1;SRC;CARTPT;TNF;EGFR;TCL1B;IL1B;ERBB2;AKT1;KRAS;TP53;MAPK3
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),16/557,1.6397227314069087e-08,2.497077567612159e-06,0,0,6.815949300237655,122.18375396744467,JUN;FOS;SOX10;TNF;ESR1;EGFR;NFKB1;SOX2;MYCN;MYC;IL1B;AKT1;CTNNB1;TP53;TP63;WNT4
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),12/283,1.7721195641118552e-08,2.497077567612159e-06,0,0,9.877054679637704,176.29065410552235,TGFB2;DLX2;HSP90AB1;IL1B;AKT1;CTNNB1;NRCAM;ACTB;NFKB1;TP63;RHOA;WNT4
GO_Biological_Process_2023,Regulation Of Nitric Oxide Biosynthetic Process (GO:0045428),6/39,3.8321924864731144e-08,4.9499152950277724e-06,0,0,38.42746615087041,656.2352024554509,HSP90AA1;HSP90AB1;IFNG;IL1B;AKT1;TNF
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),12/310,4.835463113695558e-08,5.723499949045898e-06,0,0,8.96979865771812,151.093601858137,SOX2;FGB;TGFB2;IL1B;ERBB2;FGG;PLCE1;TNFSF11;CARTPT;TNF;EGFR;MAPK3
