Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Lipid and atherosclerosis,20/215,2.841149707440946e-20,6.33576384759331e-18,0,0,25.913214990138066,1166.2888439103317,JUN;HSP90AA1;HSP90AB1;HSPA5;HSPA4;SRC;STAT3;FOS;TNF;NFKB1;RHOA;CDC42;CYP2A6;IL6;IL1B;AKT1;CALM3;KRAS;TP53;MAPK3
KEGG_2021_Human,Chemical carcinogenesis,20/239,2.3685804627735256e-19,2.6409672159924807e-17,0,0,23.045310853530033,988.3402355860836,UGT1A10;JUN;HSP90AA1;HSP90AB1;UGT1A1;SRC;STAT3;FOS;ESR1;EGFR;NFKB1;CYP2A6;MYC;AKT1;UGT1A4;KRAS;UGT1A8;UGT1A7;UGT1A6;MAPK3
KEGG_2021_Human,Pathways in cancer,25/531,5.1277931980981336e-18,3.811659610586279e-16,0,0,13.127402674752288,522.6262686572483,HSP90AB1;PTEN;HIF1A;EGFR;CDC42;MYC;ERBB2;AKT1;MAPK3;JUN;HSP90AA1;CDKN2A;STAT3;FN1;FOS;ESR1;NFKB1;RHOA;IL2;IL6;IFNG;CTNNB1;CALM3;KRAS;TP53
KEGG_2021_Human,Proteoglycans in cancer,17/205,1.716701926764174e-16,7.872472312694312e-15,0,0,22.008011557656943,798.9118706955816,SRC;STAT3;FN1;TNF;ESR1;HIF1A;EGFR;ACTB;RHOA;CDC42;MYC;ERBB2;AKT1;CTNNB1;KRAS;TP53;MAPK3
KEGG_2021_Human,Yersinia infection,15/137,1.7651283212319087e-16,7.872472312694312e-15,0,0,29.300809796563303,1062.8323201021717,JUN;SRC;FN1;FOS;TNF;ACTB;NFKB1;RHOA;IL2;CDC42;CD4;IL6;IL1B;AKT1;MAPK3
KEGG_2021_Human,Fluid shear stress and atherosclerosis,15/139,2.202648159004189e-16,8.186508990965569e-15,0,0,28.825301204819276,1039.201144386721,JUN;HSP90AA1;HSP90AB1;SRC;FOS;TNF;ACTB;NFKB1;RHOA;IFNG;IL1B;AKT1;CTNNB1;CALM3;TP53
KEGG_2021_Human,Shigellosis,17/246,3.652104906142433e-15,1.1634562772425177e-13,0,0,18.030136395493017,599.3843471656485,JUN;SRC;TNF;EGFR;ACTB;NFKB1;RHOA;CDC42;H3-5;H3-4;H3C13;IL1B;H3C12;AKT1;TP53;H3-3B;MAPK3
KEGG_2021_Human,Th17 cell differentiation,13/107,5.116047358676945e-15,1.4260982012311985e-13,0,0,32.22828535669587,1060.516664086336,JUN;HSP90AA1;HSP90AB1;STAT3;FOS;HIF1A;NFKB1;IL2;CD4;IL6;IFNG;IL1B;MAPK3
KEGG_2021_Human,Human cytomegalovirus infection,16/225,1.6142987131956884e-14,3.710943945398548e-13,0,0,18.385342513712217,583.8686663281225,CDKN2A;SRC;STAT3;TNF;EGFR;NFKB1;RHOA;IL6;MYC;IL1B;AKT1;CTNNB1;CALM3;KRAS;TP53;MAPK3
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,12/89,1.6641004239455372e-14,3.710943945398548e-13,0,0,35.92570220477197,1139.811398764196,JUN;CD4;IFNG;STAT3;PTEN;AKT1;KRAS;FOS;HIF1A;EGFR;NFKB1;MAPK3
KEGG_2021_Human,Salmonella infection,16/249,7.852314772009072e-14,1.5918783583254757e-12,0,0,16.471474929341568,497.0330635494204,JUN;HSP90AA1;HSP90AB1;FOS;TNF;ACTB;NFKB1;RHOA;CDC42;IL6;MYC;IL1B;AKT1;CTNNB1;GAPDH;MAPK3
KEGG_2021_Human,C-type lectin receptor signaling pathway,12/104,1.141523560623467e-13,1.9581519539925625e-12,0,0,30.045500505561172,895.3932430575047,JUN;IL6;SRC;IL1B;AKT1;CALM3;KRAS;TNF;NFKB1;RHOA;IL2;MAPK3
KEGG_2021_Human,T cell receptor signaling pathway,12/104,1.141523560623467e-13,1.9581519539925625e-12,0,0,30.045500505561172,895.3932430575047,CDC42;CD4;JUN;IFNG;AKT1;KRAS;FOS;TNF;NFKB1;RHOA;IL2;MAPK3
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,14/193,6.063376856687427e-13,9.65809313600926e-12,0,0,18.364059590316575,516.6055917557677,JUN;SRC;STAT3;FOS;HIF1A;NFKB1;IL6;MYC;AKT1;CTNNB1;CALM3;KRAS;TP53;MAPK3
KEGG_2021_Human,Prostate cancer,11/97,1.543548138429788e-12,2.2947415657989516e-11,0,0,29.133386794974605,792.3388958529106,HSP90AA1;HSP90AB1;ERBB2;PTEN;AKT1;CTNNB1;KRAS;TP53;NFKB1;EGFR;MAPK3
