Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Developmental Biology R-HSA-1266738,34/1073,5.0905065280782125e-19,4.194577379136446e-16,0,0,9.495935440882503,399.9853182556929,FLG;GSK3B;HSP90AB1;SRC;TNF;EGFR;SOX2;CDC42;H3C13;MYC;ERBB2;AKT1;H3-3B;KDM6A;MAPK3;HSPA8;JUN;HSP90AA1;KRT2;KRT1;STAT3;SOX10;LCE1C;NFKB1;RHOA;LCE2B;PTPRC;KRT14;CDK2;DSG1;CTNNB1;DSG3;FGF10;EZH2
Reactome_2022,Signaling By Interleukins R-HSA-449147,24/453,2.3003481934736317e-18,9.477434557111365e-16,0,0,14.524568764568764,589.8931548338536,HSPA8;JUN;HSP90AA1;SERPINB2;CCL20;STAT3;FN1;FOS;PTGS2;TNF;HIF1A;NFKB1;SOX2;CDC42;CD4;IFNG;H3C13;MYC;IL1B;CASP3;BCL2;AKT1;TP53;MAPK3
Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,14/107,1.7046867336993774e-16,4.6822062285609575e-14,0,0,35.080581910183426,1273.705070871899,HSPA8;HSP90AA1;STAT3;FN1;FOS;PTGS2;TNF;HIF1A;SOX2;MYC;IL1B;BCL2;AKT1;TP53
Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,24/702,4.212863890991554e-14,8.678499615442602e-12,0,0,9.072802359882006,279.42460825691666,HSPA8;JUN;HSP90AA1;SERPINB2;CCL20;STAT3;FN1;FOS;PTGS2;TNF;HIF1A;NFKB1;SOX2;CDC42;CD4;IFNG;H3C13;MYC;IL1B;CASP3;BCL2;AKT1;TP53;MAPK3
Reactome_2022,Cellular Responses To Stress R-HSA-2262752,24/722,7.76134168441908e-14,1.2790691095922644e-11,0,0,8.803667621776505,265.7566321805851,KDM6B;HSPA8;GSK3B;JUN;HSP90AA1;HSP90AB1;HSPA5;HSPA4;CDKN2A;STAT3;FOS;HIF1A;NFKB1;MTOR;H3C13;MYC;ALB;CDK2;AKT1;ATM;TP53;EZH2;H3-3B;MAPK3
Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,24/736,1.1768667295747837e-13,1.5113254607918925e-11,0,0,8.624269662921348,256.75098137965324,KDM6B;HSPA8;GSK3B;JUN;HSP90AA1;HSP90AB1;HSPA5;HSPA4;CDKN2A;STAT3;FOS;HIF1A;NFKB1;MTOR;H3C13;MYC;ALB;CDK2;AKT1;ATM;TP53;EZH2;H3-3B;MAPK3
Reactome_2022,Immune System R-HSA-168256,37/1943,1.2838929885368021e-13,1.5113254607918925e-11,0,0,5.634287310022679,167.24654690166423,HSP90AB1;SRC;PTEN;PTGS2;TNF;HIF1A;SOX2;CDC42;MUC2;H3C13;MYC;CASP3;AKT1;CTSE;MAPK3;HSPA8;JUN;HSP90AA1;SERPINB2;HSPA5;CCL20;KRT1;STAT3;FN1;FOS;NFKB1;RHOA;MTOR;FLG2;CD4;PTPRC;IFNG;IL1B;BCL2;DSG1;CTNNB1;TP53
Reactome_2022,ESR-mediated Signaling R-HSA-8939211,14/188,4.882586906932789e-13,5.029064514140773e-11,0,0,18.673292765382016,529.3492153345065,JUN;HSP90AA1;HSP90AB1;EGF;SRC;FOS;ESR1;EGFR;H3C13;MYC;BCL2;AKT1;H3-3B;MAPK3
Reactome_2022,Cellular Senescence R-HSA-2559583,13/165,1.7036483115648977e-12,1.5597846763660842e-10,0,0,19.640223378212973,532.2156654578978,KDM6B;JUN;CDKN2A;STAT3;FOS;NFKB1;H3C13;CDK2;ATM;TP53;EZH2;H3-3B;MAPK3
Reactome_2022,Signaling By Non-Receptor Tyrosine Kinases R-HSA-9006927,9/52,3.796187668337547e-12,3.1280586387101387e-10,0,0,46.181395348837206,1214.433252511271,EGF;PXDN;ERBB2;STAT3;CDK2;AKT1;HIF1A;RHOA;EGFR
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,18/496,3.651797128644485e-11,2.7070043245072712e-09,0,0,9.02975360297536,217.01402429780285,HSP90AA1;EGF;SRC;STAT3;FOS;ESR1;HIF1A;EGFR;RHOA;MTOR;CDC42;MYC;PXDN;ERBB2;AKT1;CTNNB1;FGF10;MAPK3
Reactome_2022,Signaling By Nuclear Receptors R-HSA-9006931,14/260,3.9422393075348615e-11,2.7070043245072712e-09,0,0,13.15973218555715,315.2635864064368,JUN;HSP90AA1;HSP90AB1;EGF;SRC;FOS;ESR1;EGFR;H3C13;MYC;BCL2;AKT1;H3-3B;MAPK3
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,14/268,5.899157665031461e-11,3.739158396912249e-09,0,0,12.740064844835572,300.074728314914,GSK3B;JUN;EGF;SRC;PTEN;ESR1;EGFR;MTOR;ERBB2;AKT1;TP53;FGF10;EZH2;MAPK3
Reactome_2022,Extra-nuclear Estrogen Signaling R-HSA-9009391,9/73,9.199088072404419e-11,5.414320408329458e-09,0,0,30.9953125,716.2809566648875,HSP90AA1;SRC;EGF;BCL2;AKT1;FOS;ESR1;EGFR;MAPK3
