Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),3/47,0.00014051583727508416,0.0345582208571019,0,0,33.94261363636364,301.0774440913921,TGFBR3;TGFB2;WNT4
GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),3/54,0.0002127063548179621,0.0345582208571019,0,0,29.273529411764702,247.52519555557132,TGFBR3;TGFB2;WNT4
GO_Biological_Process_2023,Sulfate Transport (GO:0008272),2/11,0.00024529265118944116,0.0345582208571019,0,0,108.11924119241192,898.8015841018229,SLC25A10;SLC26A11
GO_Biological_Process_2023,Glucose Metabolic Process (GO:0006006),3/59,0.00027670290974554537,0.0345582208571019,0,0,26.653125,218.35748980907536,G6PD;DCXR;SLC25A10
GO_Biological_Process_2023,Secondary Palate Development (GO:0062009),2/13,0.00034692141370239296,0.0345582208571019,0,0,88.45232815964523,704.6477129931925,TGFBR3;TGFB2
GO_Biological_Process_2023,Pathway-Restricted SMAD Protein Phosphorylation (GO:0060389),2/14,0.0004041897176269234,0.0345582208571019,0,0,81.07723577235772,633.5072130174765,TGFBR3;TGFB2
GO_Biological_Process_2023,Heart Trabecula Morphogenesis (GO:0061384),2/18,0.0006758731147824064,0.0473950914859391,0,0,60.795731707317074,443.7787597089313,TGFBR3;TGFB2
GO_Biological_Process_2023,Cardiac Epithelial To Mesenchymal Transition (GO:0060317),2/19,0.0007543579072186544,0.0473950914859391,0,0,57.21664275466284,411.3672708004445,TGFBR3;TGFB2
GO_Biological_Process_2023,Response To Ketone (GO:1901654),2/20,0.0008370330222898128,0.0473950914859391,0,0,54.03523035230352,382.87456973669936,TGFBR3;TGFB2
GO_Biological_Process_2023,Sulfur Compound Transport (GO:0072348),2/21,0.0009238809256518344,0.0473950914859391,0,0,51.18870346598203,357.6517529213759,SLC25A10;SLC26A11
GO_Biological_Process_2023,Hepaticobiliary System Development (GO:0061008),2/23,0.0011100252238666,0.0491935063799503,0,0,46.3089430894309,315.0569917577159,TGFBR3;WNT4
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),3/96,0.0011507252954374,0.0491935063799503,0,0,16.019354838709678,108.40878671592486,TGFBR3;TGFB2;WNT4
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),4/227,0.0014096777309057,0.0537807167316172,0,0,9.076233183856502,59.579972110147054,TGFB2;GNG4;PLCE1;TMEM97
GO_Biological_Process_2023,Ventricular Septum Morphogenesis (GO:0060412),2/27,0.0015316216181504,0.0537807167316172,0,0,38.89170731707317,252.0738094731918,TGFBR3;TGFB2
GO_Biological_Process_2023,Monoatomic Ion Transport (GO:0006811),3/107,0.0015725355769478,0.0537807167316172,0,0,14.317067307692309,92.41761361295572,PIEZO2;SLC25A10;SLC26A11
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),2/33,0.0022852225093912,0.073170243464112,0,0,31.35483870967742,190.6779260779712,TGFBR3;TGFB2
GO_Biological_Process_2023,Organophosphate Biosynthetic Process (GO:0090407),2/34,0.0024247449101167,0.073170243464112,0,0,30.3734756097561,182.90994948965815,G6PD;ITPKA
GO_Biological_Process_2023,Liver Development (GO:0001889),2/35,0.0025682001105659,0.0731937031511287,0,0,29.45158906134516,175.66547469692333,TGFBR3;WNT4
GO_Biological_Process_2023,Ventricular Septum Development (GO:0003281),2/37,0.0028668419419649,0.0774047324330547,0,0,27.765853658536585,162.55641815307325,TGFBR3;TGFB2
GO_Biological_Process_2023,Carboxylic Acid Transmembrane Transport (GO:1905039),2/39,0.0031810145747939,0.0815930238434655,0,0,26.262359920896508,151.0231473713992,SLC7A5;SLC25A10
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),2/42,0.0036811038952836,0.0899241094419288,0,0,24.289024390243902,136.12887191337333,TGFBR3;TGFB2
GO_Biological_Process_2023,Hexose Metabolic Process (GO:0019318),2/45,0.0042153951297837,0.0940717265049151,0,0,22.59103800340329,123.55065676287644,G6PD;DCXR
