Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Pentose and glucuronate interconversions,2/34,0.0024247449101167,0.1396247015624749,0,0,30.3734756097561,182.90994948965815,UGDH;DCXR
KEGG_2021_Human,Gastric cancer,3/149,0.0040208698735036,0.1396247015624749,0,0,10.176883561643836,56.13830532061494,TGFB2;E2F1;WNT4
KEGG_2021_Human,Cushing syndrome,3/155,0.004489766813554,0.1396247015624749,0,0,9.77220394736842,52.828090033158816,E2F1;CACNA1H;WNT4
KEGG_2021_Human,Hepatocellular carcinoma,3/168,0.0056159584876947,0.1396247015624749,0,0,8.996363636363636,46.620442880325335,TGFB2;E2F1;WNT4
KEGG_2021_Human,Proteoglycans in cancer,3/205,0.0096901964715394,0.1396247015624749,0,0,7.334777227722772,34.00872572160105,TGFB2;PLCE1;WNT4
KEGG_2021_Human,Central carbon metabolism in cancer,2/70,0.0099399173152182,0.1396247015624749,0,0,14.267575322812052,65.79059448688477,SLC7A5;G6PD
KEGG_2021_Human,Inositol phosphate metabolism,2/73,0.0107727328043165,0.1396247015624749,0,0,13.662658880109928,61.90191516841718,ITPKA;PLCE1
KEGG_2021_Human,Chronic myeloid leukemia,2/76,0.0116353917968729,0.1396247015624749,0,0,13.106789716545814,58.37375928178501,TGFB2;E2F1
KEGG_2021_Human,Pancreatic cancer,2/76,0.0116353917968729,0.1396247015624749,0,0,13.106789716545814,58.37375928178501,TGFB2;E2F1
KEGG_2021_Human,Calcium signaling pathway,3/240,0.0147961017212554,0.150920663470901,0,0,6.2405063291139244,26.293696510746845,ITPKA;PLCE1;CACNA1H
KEGG_2021_Human,TGF-beta signaling pathway,2/94,0.0174159119807794,0.150920663470901,0,0,10.53287380699894,42.66204670923194,TGFB2;ID4
KEGG_2021_Human,Circadian entrainment,2/97,0.0184764784006566,0.150920663470901,0,0,10.198716302952503,40.70569573080091,GNG4;CACNA1H
KEGG_2021_Human,Phosphatidylinositol signaling system,2/97,0.0184764784006566,0.150920663470901,0,0,10.198716302952503,40.70569573080091,ITPKA;PLCE1
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0195637897091908,0.150920663470901,0,0,9.885017421602788,38.888398778373954,TGFB2;PLCE1
KEGG_2021_Human,Pathways in cancer,4/531,0.026803570053025,0.1853868772769838,0,0,3.781443098331144,13.685875206560018,TGFB2;GNG4;E2F1;WNT4
KEGG_2021_Human,Thyroid hormone signaling pathway,2/121,0.0278930742180015,0.1853868772769838,0,0,8.131994261119083,29.1074720585662,PLCE1;WNT4
KEGG_2021_Human,Cell cycle,2/124,0.0291812677195252,0.1853868772769838,0,0,7.930827668932427,28.0293555266938,TGFB2;E2F1
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0322779551409981,0.1936677308459887,0,0,7.497825675931178,25.74281562781207,TGFB2;FBXO32
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,2/143,0.0378722288601177,0.2087581441282484,0,0,6.855561321570662,22.44193489813498,ID4;WNT4
KEGG_2021_Human,Breast cancer,2/147,0.0398141798494407,0.2087581441282484,0,0,6.665096719932716,21.48515357635476,E2F1;WNT4
KEGG_2021_Human,mTOR signaling pathway,2/154,0.0433019501798978,0.2087581441282484,0,0,6.355905006418485,19.95472990712984,SLC7A5;WNT4
KEGG_2021_Human,Cellular senescence,2/156,0.04431888899254,0.2087581441282484,0,0,6.2727272727272725,19.54797791139511,TGFB2;E2F1
KEGG_2021_Human,Hepatitis B,2/162,0.0474228133756034,0.2087581441282484,0,0,6.0356707317073175,18.400658870301584,TGFB2;E2F1
KEGG_2021_Human,Hippo signaling pathway,2/163,0.0479477598009682,0.2087581441282484,0,0,5.997879109225875,18.21941667990599,TGFB2;WNT4
KEGG_2021_Human,Proximal tubule bicarbonate reclamation,1/23,0.0483236444741315,0.2087581441282484,0,0,21.57467532467533,65.36769140672365,SLC25A10
KEGG_2021_Human,Ascorbate and aldarate metabolism,1/30,0.0625726944066545,0.2493495650068804,0,0,16.361247947454842,45.34399265988268,UGDH
KEGG_2021_Human,Pentose phosphate pathway,1/30,0.0625726944066545,0.2493495650068804,0,0,16.361247947454842,45.34399265988268,G6PD
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,2/193,0.0646461835203023,0.2493495650068804,0,0,5.048141999744605,13.825983612871369,GNG4;E2F1
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.0705919927284198,0.25423641349568,0,0,4.794563766533187,12.709614502840314,TGFB2;G6PD
KEGG_2021_Human,Propanoate metabolism,1/34,0.0706212259710222,0.25423641349568,0,0,14.375180375180376,38.10033066830352,ACSS3
KEGG_2021_Human,Mucin type O-glycan biosynthesis,1/36,0.074620141499927,0.259966944580391,0,0,13.552380952380952,35.173101634547834,ST3GAL1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.080460896251098,0.2626339965870607,0,0,4.4374508261211645,11.18230496472489,TGFB2;E2F1
KEGG_2021_Human,Human cytomegalovirus infection,2/225,0.0842678134687631,0.2626339965870607,0,0,4.3167450508585805,10.678570932200325,GNG4;E2F1
KEGG_2021_Human,Bladder cancer,1/41,0.0845440470313178,0.2626339965870607,0,0,11.855357142857144,29.28845370168136,E2F1
KEGG_2021_Human,Type I diabetes mellitus,1/43,0.0884844363791005,0.2626339965870607,0,0,11.28968253968254,27.376674104260204,PTPRN2
KEGG_2021_Human,Ras signaling pathway,2/232,0.0887782589765039,0.2626339965870607,0,0,4.183881230116649,10.1317432286876,GNG4;PLCE1
KEGG_2021_Human,ABC transporters,1/45,0.0924082580584102,0.2626339965870607,0,0,10.7754329004329,25.66211295508556,ABCA4
KEGG_2021_Human,Glycosphingolipid biosynthesis,1/45,0.0924082580584102,0.2626339965870607,0,0,10.7754329004329,25.66211295508556,ST3GAL1
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,1/48,0.0982630748725642,0.2690669176140712,0,0,10.08611955420466,23.400876172094083,UGDH
KEGG_2021_Human,Sphingolipid metabolism,1/49,0.1002064701400459,0.2690669176140712,0,0,9.875496031746032,22.71880101878368,GALC
KEGG_2021_Human,Malaria,1/50,0.1021457742794159,0.2690669176140712,0,0,9.673469387755102,22.068611238785657,TGFB2
KEGG_2021_Human,Glycosaminoglycan biosynthesis,1/53,0.107939223970153,0.2759330868224442,0,0,9.114010989010987,20.289492337496565,ST3GAL1
KEGG_2021_Human,Fanconi anemia pathway,1/54,0.1098622475311583,0.2759330868224442,0,0,8.941599281221922,19.747772315999953,CENPX
KEGG_2021_Human,Pyrimidine metabolism,1/56,0.1136961552035784,0.2774569343190099,0,0,8.615584415584415,18.73222500578713,TK1
KEGG_2021_Human,Glutathione metabolism,1/57,0.1156070559662541,0.2774569343190099,0,0,8.461309523809524,18.255768480581505,G6PD
KEGG_2021_Human,Basal cell carcinoma,1/63,0.1269882383786123,0.2800510747428195,0,0,7.640168970814132,15.766717271599331,WNT4
KEGG_2021_Human,GnRH secretion,1/64,0.1288711419246356,0.2800510747428195,0,0,7.518518518518518,15.40501042790611,CACNA1H
KEGG_2021_Human,Cortisol synthesis and secretion,1/65,0.1307500786928151,0.2800510747428195,0,0,7.400669642857143,15.056422415612554,CACNA1H
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.1307500786928151,0.2800510747428195,0,0,7.400669642857143,15.056422415612554,TGFB2
KEGG_2021_Human,MAPK signaling pathway,2/294,0.1315129325423397,0.2800510747428195,0,0,3.2851653859004344,6.664451042205452,TGFB2;CACNA1H
KEGG_2021_Human,Mitophagy,1/68,0.1363631698897331,0.2800510747428195,0,0,7.068230277185501,14.082979394345454,E2F1
KEGG_2021_Human,Renal cell carcinoma,1/69,0.1382263210059717,0.2800510747428195,0,0,6.963935574229692,13.78067395390674,TGFB2
KEGG_2021_Human,MicroRNAs in cancer,2/310,0.143212669528809,0.2800510747428195,0,0,3.111973392461197,6.047885502322521,TGFB2;E2F1
KEGG_2021_Human,Melanoma,1/72,0.1437922497074726,0.2800510747428195,0,0,6.668678739101274,12.933140394434057,E2F1
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.1437922497074726,0.2800510747428195,0,0,6.668678739101274,12.933140394434057,E2F1
KEGG_2021_Human,PPAR signaling pathway,1/74,0.1474833455711862,0.2800510747428195,0,0,6.485322896281801,12.413167572325236,FABP7
KEGG_2021_Human,Glioma,1/75,0.149323060617621,0.2800510747428195,0,0,6.397361647361647,12.16549881472976,E2F1
KEGG_2021_Human,Pertussis,1/76,0.15115889773631,0.2800510747428195,0,0,6.311746031746032,11.9255624938045,C5
KEGG_2021_Human,Leishmaniasis,1/77,0.1529908649057995,0.2800510747428195,0,0,6.228383458646617,11.693024262708771,TGFB2
KEGG_2021_Human,Human papillomavirus infection,2/331,0.1588933137714926,0.2860079647886868,0,0,2.910223144784639,5.353420327817416,E2F1;WNT4
KEGG_2021_Human,Complement and coagulation cascades,1/85,0.1675082362330531,0.2883239886722995,0,0,5.632936507936508,10.064495849636533,C5
KEGG_2021_Human,Colorectal cancer,1/86,0.1693057302951719,0.2883239886722995,0,0,5.5663865546218485,9.886176072320994,TGFB2
KEGG_2021_Human,GABAergic synapse,1/89,0.1746754974797397,0.2883239886722995,0,0,5.375811688311688,9.379852384352931,GNG4
KEGG_2021_Human,Hypertrophic cardiomyopathy,1/90,0.1764578741938549,0.2883239886722995,0,0,5.3151417870519,9.220033503106164,TGFB2
KEGG_2021_Human,Morphine addiction,1/91,0.1782364909946805,0.2883239886722995,0,0,5.2558201058201055,9.064418660017266,GNG4
KEGG_2021_Human,Small cell lung cancer,1/92,0.1800113556248347,0.2883239886722995,0,0,5.197802197802198,8.91285513593522,E2F1
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.1817824758162722,0.2883239886722995,0,0,5.141045548654244,8.765197304329645,TGFB2
KEGG_2021_Human,Staphylococcus aureus infection,1/95,0.1853135137833423,0.2883239886722995,0,0,5.031155015197569,8.481049298556284,C5
KEGG_2021_Human,Dilated cardiomyopathy,1/96,0.1870734468887621,0.2883239886722995,0,0,4.977944862155389,8.344299863156749,TGFB2
KEGG_2021_Human,Prostate cancer,1/97,0.1888296663266832,0.2883239886722995,0,0,4.925843253968254,8.210936918629546,E2F1
KEGG_2021_Human,Aldosterone synthesis and secretion,1/98,0.1905821797563973,0.2883239886722995,0,0,4.87481590574374,8.080844796889387,CACNA1H
KEGG_2021_Human,Melanogenesis,1/101,0.1958175600852756,0.2883239886722995,0,0,4.727857142857143,7.709110858366568,WNT4
KEGG_2021_Human,Amoebiasis,1/102,0.1975553255717607,0.2883239886722995,0,0,4.6808109382366805,7.591042436779819,TGFB2
KEGG_2021_Human,Chagas disease,1/102,0.1975553255717607,0.2883239886722995,0,0,4.6808109382366805,7.591042436779819,TGFB2
KEGG_2021_Human,Drug metabolism,1/108,0.2079051543056224,0.298195597638305,0,0,4.417000445037829,6.937664630615158,TK1
KEGG_2021_Human,Toxoplasmosis,1/112,0.2147324820693924,0.298195597638305,0,0,4.256971256971257,6.548764072815388,TGFB2
KEGG_2021_Human,Serotonergic synapse,1/113,0.216430312660061,0.298195597638305,0,0,4.21875,6.456740617261403,GNG4
KEGG_2021_Human,Cholinergic synapse,1/113,0.216430312660061,0.298195597638305,0,0,4.21875,6.456740617261403,GNG4
KEGG_2021_Human,Glutamatergic synapse,1/114,0.2181245575317231,0.298195597638305,0,0,4.181205225453013,6.366675264315155,GNG4
KEGG_2021_Human,Osteoclast differentiation,1/127,0.2398267859563774,0.3201975291938411,0,0,3.747354497354497,5.350616430106396,TGFB2
KEGG_2021_Human,Lysosome,1/128,0.2414716005722128,0.3201975291938411,0,0,3.717660292463442,5.28280794827189,GALC
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.2431129388323608,0.3201975291938411,0,0,3.6884300595238098,5.216285399224581,GNG4
KEGG_2021_Human,Dopaminergic synapse,1/132,0.2480161670641776,0.3227198318425443,0,0,3.6034169392948017,5.024104948978747,GNG4
KEGG_2021_Human,Systemic lupus erythematosus,1/135,0.2528883654791728,0.325142184187508,0,0,3.5222103766879886,4.842359942035553,C5
KEGG_2021_Human,Apelin signaling pathway,1/137,0.2561193536495746,0.3254222375782831,0,0,3.470063025210084,4.72661350869186,GNG4
KEGG_2021_Human,Retrograde endocannabinoid signaling,1/148,0.2736473115670023,0.3436501122004215,0,0,3.2086167800453516,4.158095210638435,GNG4
KEGG_2021_Human,Hepatitis C,1/157,0.2876877383896574,0.3571296062768161,0,0,3.022130647130647,3.765211008723502,E2F1
KEGG_2021_Human,Wnt signaling pathway,1/166,0.3014629550579916,0.3699772630257169,0,0,2.855988455988456,3.4246390029225693,WNT4
KEGG_2021_Human,Tuberculosis,1/180,0.3223754204297258,0.3903750578301075,0,0,2.630752859803139,2.978113549215391,TGFB2
KEGG_2021_Human,Axon guidance,1/182,0.3253125481917563,0.3903750578301075,0,0,2.6014206787687453,2.9213144453201942,WNT4
KEGG_2021_Human,Alcoholism,1/186,0.3311495470276412,0.3930126492196181,0,0,2.5446589446589445,2.8123194095927024,GNG4
KEGG_2021_Human,Neutrophil extracellular trap formation,1/189,0.335494898412378,0.3938418372667047,0,0,2.5036727456940224,2.73438250533161,C5
KEGG_2021_Human,Chemokine signaling pathway,1/192,0.3398126714804756,0.3946211668805524,0,0,2.463974071303914,2.6595169741311544,GNG4
