Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),17/525,7.798814091952462e-10,5.099427554319947e-07,0,0,7.914370078740157,165.97921360976187,NTRK2;TGFB2;HSP90AB1;SRC;LRP2;BMP7;EGFR;GJA1;WNT11;ERBB2;TNFSF10;PLCE1;TNFSF11;S100A9;TP53;GAPDH;LTF
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),20/766,8.94383365591283e-10,5.099427554319947e-07,0,0,6.500492075881494,135.43701532384804,NTRK2;TGFB2;JUN;CDKN2A;NRG1;LAMC2;NCCRP1;EGFR;ACTB;FUT3;FABP3;CEACAM6;MYC;FABP7;ERBB2;AKT1;CTNNB1;FGFR4;TP53;KRT6A
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),12/227,1.324064920884246e-09,5.099427554319947e-07,0,0,12.62935044105854,258.1762459020307,TGFB2;GJA1;WNT11;GNG4;CDKN2A;ERBB2;AKT1;PLCE1;NRG1;S100A9;TP53;EGFR
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),7/43,1.6350241743602599e-09,5.099427554319947e-07,0,0,41.98520531400966,849.428226089836,JUN;TGFB2;MYCN;MYC;FOS;TP53;EGFR
GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),16/483,1.8747895420293924e-09,5.099427554319947e-07,0,0,8.02208405355899,161.20192938890423,NTRK2;TGFB2;NRG1;LAMC2;NCCRP1;EGFR;ACTB;TGFBR3;GJA1;CEACAM6;MYC;ERBB2;AKT1;FGFR4;KRT6A;LTF
GO_Biological_Process_2023,Positive Regulation Of miRNA Metabolic Process (GO:2000630),7/49,4.254440261360554e-09,9.643397925750589e-07,0,0,35.97644927536232,693.4569474081517,JUN;TGFB2;MYCN;MYC;FOS;TP53;EGFR
GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),17/594,4.994745604860881e-09,9.704077175158282e-07,0,0,6.943145791943188,132.71739416481194,NTRK2;TGFB2;HSP90AB1;HBB;NRG1;LAMC2;NCCRP1;EGFR;ACTB;CEACAM6;MYC;ERBB2;AKT1;CTNNB1;FGFR4;S100A9;KRT6A
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),7/59,1.6229180491502128e-08,2.7589606835553618e-06,0,0,29.04326923076923,520.9332901622673,JUN;TGFB2;MYCN;MYC;FOS;TP53;EGFR
GO_Biological_Process_2023,ERBB2 Signaling Pathway (GO:0038128),4/13,3.902096708490946e-07,5.896501692830762e-05,0,0,93.06198830409356,1373.276826568605,SRC;ERBB2;NRG1;EGFR
GO_Biological_Process_2023,Cellular Response To Growth Factor Stimulus (GO:0071363),8/155,1.0234233093324286e-06,0.0001391855700692103,0,0,11.813710099424386,162.93891149150153,MED1;ERBB2;AKT1;CTNNB1;LRP2;BMP7;EGFR;WNT4
GO_Biological_Process_2023,Heart Trabecula Morphogenesis (GO:0061384),4/18,1.6385641560041975e-06,0.00020258611383324623,0,0,59.810526315789474,796.7773031299877,TGFBR3;TGFB2;NRG1;BMP7
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),13/537,2.448951374061535e-06,0.00024720506184856795,0,0,5.589849991123735,72.22002696082615,TGFB2;CDKN2A;NRG1;BMP7;ACTB;GJA1;FABP3;WNT11;GNG4;MYC;FABP7;CTNNB1;TP53
GO_Biological_Process_2023,Negative Regulation Of Growth (GO:0045926),7/124,2.7564973559264e-06,0.00024720506184856795,0,0,12.865849126718691,164.7028077762983,TGFB2;GJA1;WNT11;GNG4;CDKN2A;NRG1;TP53
GO_Biological_Process_2023,Regulation Of Telomerase Activity (GO:0051972),5/45,2.802529884837727e-06,0.00024720506184856795,0,0,26.41090425531915,337.6630944599387,HSP90AB1;SRC;MYC;CTNNB1;TP53
GO_Biological_Process_2023,Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173),5/45,2.802529884837727e-06,0.00024720506184856795,0,0,26.41090425531915,337.6630944599387,SRC;ERBB2;AKT1;PLCE1;EGFR
GO_Biological_Process_2023,Negative Regulation Of Cell Growth (GO:0030308),7/125,2.9082948452772703e-06,0.00024720506184856795,0,0,12.756171702284451,162.61495757013878,TGFB2;GJA1;WNT11;GNG4;CDKN2A;NRG1;TP53
GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),5/47,3.4911969302703977e-06,0.0002792957544216318,0,0,25.150709219858157,316.02534943881153,TGFBR3;TGFB2;CTNNB1;BMP7;WNT4
GO_Biological_Process_2023,Cellular Response To Cadmium Ion (GO:0071276),4/22,3.857961222725306e-06,0.00029149040349480093,0,0,46.509941520467834,579.7637085497724,JUN;AKT1;FOS;EGFR
GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),12/480,4.441083383125492e-06,0.0003150590974249803,0,0,5.727379899793693,70.5877362218324,MED1;NTRK2;GJA1;MYCN;MYC;ERBB2;AKT1;PGR;FGFR4;TP53;BMP7;GAPDH
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),12/482,4.633222020955593e-06,0.0003150590974249803,0,0,5.702421129860602,70.03860771859408,MED1;NTRK2;CEACAM6;SRC;MYC;ERBB2;AKT1;CTNNB1;LRP2;TP53;EGFR;LTF
GO_Biological_Process_2023,ERBB Signaling Pathway (GO:0038127),5/54,7.0033702567804835e-06,0.00041926062900927784,0,0,21.55015197568389,255.7813195501813,SRC;AKT1;PLCE1;NRG1;EGFR
GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),5/54,7.0033702567804835e-06,0.00041926062900927784,0,0,21.55015197568389,255.7813195501813,TGFBR3;TGFB2;CTNNB1;BMP7;WNT4
GO_Biological_Process_2023,Positive Regulation Of Transferase Activity (GO:0051347),7/143,7.09043710824514e-06,0.00041926062900927784,0,0,11.05778452685422,131.1095367202034,NTRK2;HSP90AB1;MYC;ERBB2;CTNNB1;FGFR4;EGFR
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),6/96,8.168090042062541e-06,0.0004628584357168773,0,0,14.201433691756272,166.3737075321738,TGFBR3;JUN;TGFB2;SRC;FOS;WNT4
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),4/27,9.081876088944903e-06,0.00048200156812461183,0,0,36.389931350114416,422.45907432046346,HSP90AB1;HBB;AKT1;PTGS2
GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),18/1127,9.349639803745902e-06,0.00048200156812461183,0,0,3.765554553651939,43.60577218967835,MED1;NTRK2;TGFB2;PLAG1;AHNAK2;NRG1;BMP7;SLC7A5;GJA1;MYCN;MYC;AKT1;PGR;IGF2BP2;FGFR4;TP53;WNT4;LTF
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),14/705,9.5691487789445e-06,0.00048200156812461183,0,0,4.578871201157742,52.91786017881256,MED1;JUN;SRC;NRG1;LRP2;EGFR;ACTB;MYC;ERBB2;TNFSF10;AKT1;CTNNB1;TP53;LTF
GO_Biological_Process_2023,Antimicrobial Humoral Response (GO:0019730),6/100,1.0337185772586944e-05,0.0004950108552862297,0,0,13.594371997254632,156.0601672338797,SLPI;NRG1;S100A9;GAPDH;KRT6A;LTF
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),4/28,1.0555378531838722e-05,0.0004950108552862297,0,0,34.871929824561406,399.5930853743602,HSP90AB1;HBB;AKT1;PTGS2
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),9/283,1.139816881376869e-05,0.0005167169862241806,0,0,7.163138686131387,81.5312588833034,TGFB2;GJA1;HSP90AB1;AKT1;CTNNB1;BMP7;ACTB;WNT4;LTF
GO_Biological_Process_2023,Defense Response To Fungus (GO:0050832),4/29,1.2197853608612927e-05,0.0005351316421843091,0,0,33.47536842105263,378.7487057508999,NRG1;GAPDH;S100A9;LTF
GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),10/364,1.304772208371189e-05,0.0005545281885577553,0,0,6.204215070145369,69.77816781264542,MED1;NTRK2;GJA1;MYCN;MYC;AKT1;PGR;FGFR4;TP53;BMP7
GO_Biological_Process_2023,Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844),5/65,1.7521644655622507e-05,0.0007221041433832306,0,0,17.5895390070922,192.6419258630073,NRG1;GAPDH;S100A9;KRT6A;LTF
GO_Biological_Process_2023,Negative Regulation Of Endopeptidase Activity (GO:0010951),5/66,1.888391391591163e-05,0.0007256130159830401,0,0,17.300313916986397,188.17897650771707,AKT1;NRG1;GAPDH;SERPINB5;LTF
GO_Biological_Process_2023,Response To Reactive Oxygen Species (GO:0000302),5/66,1.888391391591163e-05,0.0007256130159830401,0,0,17.300313916986397,188.17897650771707,JUN;HBB;AKT1;FOS;EGFR
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),10/381,1.9328061468416937e-05,0.0007256130159830401,0,0,5.914776340894637,64.19870178305929,MED1;SRC;MYC;ERBB2;AKT1;CTNNB1;LRP2;TP53;EGFR;LTF
GO_Biological_Process_2023,Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508),12/557,1.9740942346597416e-05,0.0007256130159830401,0,0,4.898702942106929,53.06674656793896,MED1;JUN;MYCN;WNT11;MYC;AKT1;CTNNB1;FOS;TP53;BMP7;EGFR;WNT4
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),4/33,2.069880676668703e-05,0.0007407994000709042,0,0,28.852268602540835,311.18425328939645,TGFBR3;TGFB2;NRG1;LRP2
GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),9/310,2.3459596050298796e-05,0.0008180782212411887,0,0,6.511627906976744,69.41545724168529,NTRK2;TGFB2;ERBB2;PLCE1;TNFSF11;NRG1;FGFR4;CCL18;EGFR
GO_Biological_Process_2023,Neuron Differentiation (GO:0030182),7/173,2.4470946298504167e-05,0.0008222962542846891,0,0,9.045639078051336,96.04681291179875,UGDH;NTRK2;TGFB2;WNT11;ERBB2;CTNNB1;WNT4
GO_Biological_Process_2023,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),6/117,2.534889510444831e-05,0.0008222962542846891,0,0,11.502470212147632,121.72805896713804,SRC;ERBB2;AKT1;TNFSF11;EGFR;LTF
GO_Biological_Process_2023,Positive Regulation Of Cellular Biosynthetic Process (GO:0031328),7/174,2.5394443147027165e-05,0.0008222962542846891,0,0,8.991017964071856,95.1337828903738,HSP90AB1;ERBB2;AKT1;HBB;CTNNB1;FGFR4;PTGS2
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),5/72,2.887953828081586e-05,0.0009133993502769668,0,0,15.74626865671642,164.5859399897073,TGFBR3;JUN;TGFB2;SRC;FOS
