Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Breast cancer,12/147,8.431912181206136e-12,1.686382436241227e-09,0,0,20.19514687100894,514.9560003661476,JUN;WNT11;MYC;ERBB2;AKT1;TNFSF11;CTNNB1;PGR;FOS;TP53;EGFR;WNT4
KEGG_2021_Human,Pathways in cancer,18/531,1.1093040667498487e-10,1.1093040667498487e-08,0,0,8.398527182152913,192.51203175172853,TGFB2;JUN;HSP90AB1;CDKN2A;ADCY2;LAMC2;FOS;PTGS2;EGFR;WNT11;GNG4;MYC;ERBB2;AKT1;CTNNB1;FGFR4;TP53;WNT4
KEGG_2021_Human,Proteoglycans in cancer,12/205,4.122981102540787e-10,2.2305113888898103e-08,0,0,14.084688225835269,304.359893550685,TGFB2;WNT11;SRC;MYC;ERBB2;AKT1;PLCE1;CTNNB1;TP53;EGFR;ACTB;WNT4
KEGG_2021_Human,Thyroid hormone signaling pathway,10/121,4.4610227777796205e-10,2.2305113888898103e-08,0,0,20.0323919425043,431.3068711957596,MED1;SRC;MYC;DIO1;AKT1;PLCE1;CTNNB1;TP53;ACTB;WNT4
KEGG_2021_Human,Estrogen signaling pathway,10/137,1.5150507860856555e-09,6.060203144342623e-08,0,0,17.494470494558968,355.27450315270477,JUN;HSP90AB1;SRC;KRT14;AKT1;KRT23;ADCY2;PGR;FOS;EGFR
KEGG_2021_Human,Colorectal cancer,8/86,1.0442185910391408e-08,3.1265278982342025e-07,0,0,22.342068188222033,410.58938974857296,JUN;TGFB2;MYC;AKT1;CTNNB1;FOS;TP53;EGFR
KEGG_2021_Human,Hepatocellular carcinoma,10/168,1.0942847643819708e-08,3.1265278982342025e-07,0,0,14.039965865452992,257.3607143674488,TGFB2;WNT11;CDKN2A;MYC;AKT1;CTNNB1;TP53;EGFR;ACTB;WNT4
KEGG_2021_Human,Chemical carcinogenesis,11/239,2.8192275279065024e-08,6.600256433825341e-07,0,0,10.78563596491228,187.49984497147463,JUN;HSP90AB1;SRC;MYC;AKT1;TNFSF11;ADCY2;PGR;FOS;PTGS2;EGFR
KEGG_2021_Human,Fluid shear stress and atherosclerosis,9/139,2.9701153952214036e-08,6.600256433825341e-07,0,0,15.208461538461538,263.59427112291235,JUN;HSP90AB1;SRC;AKT1;CTNNB1;PLAT;FOS;TP53;ACTB
KEGG_2021_Human,Salmonella infection,11/249,4.289990967896846e-08,8.579981935793693e-07,0,0,10.327205882352942,175.19481136385156,TUBA3D;JUN;HSP90AB1;MYC;AHNAK2;TNFSF10;AKT1;CTNNB1;FOS;GAPDH;ACTB
KEGG_2021_Human,Bladder cancer,6/41,4.932013843697219e-08,8.967297897631308e-07,0,0,36.619354838709675,616.118204545035,SRC;CDKN2A;MYC;ERBB2;TP53;EGFR
KEGG_2021_Human,Gastric cancer,9/149,5.426790592977979e-08,9.044650988296632e-07,0,0,14.115,236.13453297679445,TGFB2;WNT11;MYC;ERBB2;AKT1;CTNNB1;TP53;EGFR;WNT4
KEGG_2021_Human,Human cytomegalovirus infection,10/225,1.728946134853483e-07,2.6599171305438195e-06,0,0,10.287954010974651,160.1894479871877,GNG4;CDKN2A;SRC;MYC;AKT1;CTNNB1;ADCY2;PTGS2;TP53;EGFR
KEGG_2021_Human,ErbB signaling pathway,7/85,2.1146477713189635e-07,3.020925387598519e-06,0,0,19.336817168338907,297.1915533364927,JUN;SRC;MYC;ERBB2;AKT1;NRG1;EGFR
KEGG_2021_Human,MAPK signaling pathway,11/294,2.3005347935201206e-07,3.067379724693494e-06,0,0,8.665194346289752,132.44709729717033,NTRK2;TGFB2;JUN;MYC;ERBB2;AKT1;FOS;FGFR4;TP53;EGFR;CACNA1H
KEGG_2021_Human,Endometrial cancer,6/58,4.148806982455155e-07,5.186008728068944e-06,0,0,24.62655086848635,361.8939331803663,MYC;ERBB2;AKT1;CTNNB1;TP53;EGFR
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,9/193,4.932321322428355e-07,5.802730967562772e-06,0,0,10.715760869565218,155.6173431686574,JUN;GNG4;SRC;MYC;AKT1;CTNNB1;FOS;PTGS2;TP53
KEGG_2021_Human,Prostate cancer,7/97,5.244096557976997e-07,5.826773953307774e-06,0,0,16.74842995169082,242.1989228020431,HSP90AB1;ERBB2;AKT1;CTNNB1;PLAT;TP53;EGFR
KEGG_2021_Human,Central carbon metabolism in cancer,6/70,1.2812252212444334e-06,1.3486581276257194e-05,0,0,19.996975806451612,271.31284334340876,SLC7A5;MYC;ERBB2;AKT1;TP53;EGFR
KEGG_2021_Human,Pancreatic cancer,6/76,2.085834514391423e-06,2.0858345143914228e-05,0,0,18.27741935483871,239.07488755945556,TGFB2;CDKN2A;ERBB2;AKT1;TP53;EGFR
KEGG_2021_Human,Relaxin signaling pathway,7/129,3.5871603876897424e-06,3.4163432263711836e-05,0,0,12.335441910192444,154.66361662954844,JUN;GNG4;SRC;AKT1;ADCY2;FOS;EGFR
KEGG_2021_Human,Pathogenic Escherichia coli infection,8/197,6.116893700928587e-06,5.560812455389625e-05,0,0,9.16890516890517,110.06772009408336,TUBA3D;JUN;SRC;TNFSF10;FOS;CLDN1;GAPDH;ACTB
KEGG_2021_Human,Apoptosis,7/142,6.770523172936096e-06,5.672349686596112e-05,0,0,11.140257648953302,132.60173144030833,TUBA3D;JUN;TNFSF10;AKT1;FOS;TP53;ACTB
KEGG_2021_Human,Focal adhesion,8/201,7.089259049846556e-06,5.672349686596112e-05,0,0,8.977054034048853,106.44029885739766,JUN;SRC;ERBB2;AKT1;CTNNB1;LAMC2;EGFR;ACTB
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,7/143,7.09043710824514e-06,5.672349686596112e-05,0,0,11.05778452685422,131.1095367202034,WNT11;MYC;ID4;AKT1;CTNNB1;FGFR4;WNT4
KEGG_2021_Human,Rap1 signaling pathway,8/210,9.764068658764345e-06,7.510822045203342e-05,0,0,8.573169404852573,98.906952566272,SRC;AKT1;PLCE1;CTNNB1;ADCY2;FGFR4;EGFR;ACTB
KEGG_2021_Human,PI3K-Akt signaling pathway,10/354,1.024866923064954e-05,7.591606837518179e-05,0,0,6.3878364253984845,73.38578167192169,NTRK2;HSP90AB1;GNG4;MYC;ERBB2;AKT1;LAMC2;FGFR4;TP53;EGFR
