Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Secondary Palate Development (GO:0062009),2/13,5.274920091662329e-05,0.0069911869551095,0,0,242.0848484848485,2384.5265424278687,TGFBR3;TGFB2
GO_Biological_Process_2023,Pathway-Restricted SMAD Protein Phosphorylation (GO:0060389),2/14,6.15100567126949e-05,0.0069911869551095,0,0,221.9,2151.6111607602743,TGFBR3;TGFB2
GO_Biological_Process_2023,Heart Trabecula Morphogenesis (GO:0061384),2/18,0.00010321185160705684,0.0069911869551095,0,0,166.39166666666668,1527.2636618368022,TGFBR3;TGFB2
GO_Biological_Process_2023,Cardiac Epithelial To Mesenchymal Transition (GO:0060317),2/19,0.00011529687235353156,0.0069911869551095,0,0,156.59607843137255,1420.0132794951876,TGFBR3;TGFB2
GO_Biological_Process_2023,Response To Ketone (GO:1901654),2/20,0.0001280437171265482,0.0069911869551095,0,0,147.88888888888889,1325.548639908665,TGFBR3;TGFB2
GO_Biological_Process_2023,Ventricular Septum Morphogenesis (GO:0060412),2/27,0.0002357187816910066,0.0107252045669408,0,0,106.44266666666668,889.1018706375095,TGFBR3;TGFB2
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010),2/33,0.0003535248152475582,0.0130478813833397,0,0,85.81505376344086,682.0200206338118,TGFBR3;TGFB2
GO_Biological_Process_2023,Heart Development (GO:0007507),3/171,0.00038235549841288656,0.0130478813833397,0,0,25.274234693877553,198.886990567368,TGFBR3;TGFB2;PLCE1
GO_Biological_Process_2023,Ventricular Septum Development (GO:0003281),2/37,0.00044503356162541583,0.0134993513693042,0,0,75.99238095238096,586.460626363802,TGFBR3;TGFB2
GO_Biological_Process_2023,Cardiac Ventricle Morphogenesis (GO:0003208),2/42,0.0005739015134179195,0.0156675113163092,0,0,66.47666666666667,496.11887036156423,TGFBR3;TGFB2
GO_Biological_Process_2023,Epithelial To Mesenchymal Transition (GO:0001837),2/47,0.0007187463003770445,0.017837976363903,0,0,59.07555555555555,427.588995947653,TGFBR3;TGFB2
GO_Biological_Process_2023,Regulation Of Stress-Activated MAPK Cascade (GO:0032872),2/51,0.0008460435467739499,0.0192474906891073,0,0,54.2421768707483,383.7601319651186,TGFBR3;TGFB2
GO_Biological_Process_2023,Mesenchymal Cell Differentiation (GO:0048762),2/54,0.0009481382056935088,0.0199109023195636,0,0,51.1051282051282,355.7433227832543,TGFBR3;TGFB2
GO_Biological_Process_2023,Heart Morphogenesis (GO:0003007),2/59,0.0011308314717929,0.0219905820511076,0,0,46.61052631578947,316.24319688035297,TGFBR3;TGFB2
GO_Biological_Process_2023,BMP Signaling Pathway (GO:0030509),2/61,0.0012082737390718,0.0219905820511076,0,0,45.02598870056497,302.509923709327,TGFBR3;TGFB2
GO_Biological_Process_2023,Cellular Response To BMP Stimulus (GO:0071773),2/66,0.0014127246831094,0.0241046149055552,0,0,41.49791666666667,272.31908283307774,TGFBR3;TGFB2
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),2/70,0.0015873775566978,0.0254554365374269,0,0,39.049019607843135,251.6971707443923,TGFBR3;TGFB2
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),2/72,0.0016783804310391,0.0254554365374269,0,0,37.92952380952381,242.3668495875679,TGFBR3;TGFB2
GO_Biological_Process_2023,Regulation Of Ras Protein Signal Transduction (GO:0046578),2/76,0.0018677011427961,0.0268359164201766,0,0,35.87207207207207,225.38591265569076,TGFB2;PLCE1
GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),2/91,0.0026635798098832,0.0346265375284826,0,0,29.80374531835206,176.67911374226674,TGFBR3;TGFB2
GO_Biological_Process_2023,Regulation Of RNA Metabolic Process (GO:0051252),2/91,0.0026635798098832,0.0346265375284826,0,0,29.80374531835206,176.67911374226674,AHNAK2;PTBP2
GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),2/96,0.0029586481540932,0.0352268635797604,0,0,28.211347517730495,164.2753203692656,TGFBR3;TGFB2
GO_Biological_Process_2023,Hemopoiesis (GO:0030097),2/101,0.0032684109262669,0.0352268635797604,0,0,26.77979797979798,153.27287136771164,TGFBR3;TGFB2
GO_Biological_Process_2023,Regulation Of RNA Splicing (GO:0043484),2/102,0.0033321166769984,0.0352268635797604,0,0,26.510666666666665,151.2207540022897,AHNAK2;PTBP2
GO_Biological_Process_2023,Lipid Transport (GO:0006869),2/108,0.0037265465017291,0.0352268635797604,0,0,25.00251572327044,139.82090223868067,FABP7;ABCA4
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),3/379,0.0037680799275582,0.0352268635797604,0,0,11.174202127659576,62.36534193566127,TGFBR3;TGFB2;FABP7
GO_Biological_Process_2023,Gastrulation With Mouth Forming Second (GO:0001702),1/5,0.0042431439889969,0.0352268635797604,0,0,312.171875,1705.2235013634931,UGDH
GO_Biological_Process_2023,Ventricular Compact Myocardium Morphogenesis (GO:0003223),1/5,0.0042431439889969,0.0352268635797604,0,0,312.171875,1705.2235013634931,TGFBR3
GO_Biological_Process_2023,Response To Gonadotropin (GO:0034698),1/5,0.0042431439889969,0.0352268635797604,0,0,312.171875,1705.2235013634931,TGFBR3
GO_Biological_Process_2023,Ketone Body Biosynthetic Process (GO:0046951),1/5,0.0042431439889969,0.0352268635797604,0,0,312.171875,1705.2235013634931,ACSS3
GO_Biological_Process_2023,Pharyngeal Arch Artery Morphogenesis (GO:0061626),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,TGFB2
GO_Biological_Process_2023,Gland Morphogenesis (GO:0022612),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,TGFB2
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta2 Production (GO:0032909),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,TGFB2
GO_Biological_Process_2023,Heart Trabecula Formation (GO:0060347),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,TGFBR3
GO_Biological_Process_2023,Positive Regulation Of Blood Circulation (GO:1903524),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,TGFB2
GO_Biological_Process_2023,Definitive Hemopoiesis (GO:0060216),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,TGFBR3
GO_Biological_Process_2023,Ketone Body Metabolic Process (GO:1902224),1/6,0.0050897414535705,0.0352268635797604,0,0,249.725,1318.6799159042428,ACSS3
GO_Biological_Process_2023,Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178),2/130,0.0053489477431892,0.0352268635797604,0,0,20.682291666666668,108.18607748194202,TGFBR3;TGFB2
GO_Biological_Process_2023,Circulatory System Development (GO:0072359),2/132,0.0055099490676771,0.0352268635797604,0,0,20.362051282051283,105.9070990813263,TGFB2;PLCE1
GO_Biological_Process_2023,Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation (GO:1905005),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,TGFB2
GO_Biological_Process_2023,Galactosylceramide Metabolic Process (GO:0006681),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,GALC
GO_Biological_Process_2023,Negative Regulation Of Macrophage Migration (GO:1905522),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,C5
GO_Biological_Process_2023,Ventricular Trabecula Myocardium Morphogenesis (GO:0003222),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,TGFB2
GO_Biological_Process_2023,Coronary Vasculature Morphogenesis (GO:0060977),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,TGFBR3
GO_Biological_Process_2023,Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,TGFB2
GO_Biological_Process_2023,Diacylglycerol Biosynthetic Process (GO:0006651),1/7,0.0059356619951244,0.0352268635797604,0,0,208.09375,1066.8501922993223,PLCE1
GO_Biological_Process_2023,Cardioblast Differentiation (GO:0010002),1/8,0.0067809060200976,0.0377793335405438,0,0,178.35714285714286,890.6521752159383,TGFB2
GO_Biological_Process_2023,Protein Hexamerization (GO:0034214),1/8,0.0067809060200976,0.0377793335405438,0,0,178.35714285714286,890.6521752159383,UGDH
GO_Biological_Process_2023,Regulation Of Cell Killing (GO:0031341),1/8,0.0067809060200976,0.0377793335405438,0,0,178.35714285714286,890.6521752159383,TGFB2
GO_Biological_Process_2023,Neuron Development (GO:0048666),2/150,0.0070580458028467,0.0385369300835431,0,0,17.86936936936937,88.51747695452742,UGDH;TGFB2
GO_Biological_Process_2023,Regulation Of Complement-Dependent Cytotoxicity (GO:1903659),1/9,0.0076254739654265,0.0400337383184893,0,0,156.0546875,760.9633551596094,TGFB2
GO_Biological_Process_2023,Positive Regulation Of Cardiocyte Differentiation (GO:1905209),1/9,0.0076254739654265,0.0400337383184893,0,0,156.0546875,760.9633551596094,TGFB2
GO_Biological_Process_2023,Response To Prostaglandin E (GO:0034695),1/10,0.0084693662805775,0.0420388544472305,0,0,138.70833333333334,661.8190142974174,TGFBR3
GO_Biological_Process_2023,Atrial Septum Morphogenesis (GO:0060413),1/10,0.0084693662805775,0.0420388544472305,0,0,138.70833333333334,661.8190142974174,TGFB2
GO_Biological_Process_2023,Embryonic Appendage Morphogenesis (GO:0035113),1/10,0.0084693662805775,0.0420388544472305,0,0,138.70833333333334,661.8190142974174,TGFB2
GO_Biological_Process_2023,Neuron Differentiation (GO:0030182),2/173,0.0092898071453549,0.0430904284324944,0,0,15.44795321637427,72.27846258692112,UGDH;TGFB2
GO_Biological_Process_2023,Catecholamine Biosynthetic Process (GO:0042423),1/11,0.0093125834341288,0.0430904284324944,0,0,124.83125,583.7594513941907,TGFB2
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),1/11,0.0093125834341288,0.0430904284324944,0,0,124.83125,583.7594513941907,C5
GO_Biological_Process_2023,Negative Regulation Of RNA Metabolic Process (GO:0051253),1/11,0.0093125834341288,0.0430904284324944,0,0,124.83125,583.7594513941907,PTBP2
GO_Biological_Process_2023,Cardiac Right Ventricle Morphogenesis (GO:0003215),1/12,0.0101551258956082,0.0448086477747898,0,0,113.47727272727272,520.8353408254836,TGFB2
GO_Biological_Process_2023,Cardiocyte Differentiation (GO:0035051),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,TGFB2
GO_Biological_Process_2023,Chondroitin Sulfate Biosynthetic Process (GO:0030206),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,UGDH
GO_Biological_Process_2023,Regulation Of Macrophage Cytokine Production (GO:0010935),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,TGFB2
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Cell Proliferation (GO:0060045),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,TGFBR3
GO_Biological_Process_2023,Response To Progesterone (GO:0032570),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,TGFB2
GO_Biological_Process_2023,Atrial Septum Development (GO:0003283),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,TGFB2
GO_Biological_Process_2023,Atrioventricular Valve Development (GO:0003171),1/13,0.0109969941425308,0.0448086477747898,0,0,104.015625,469.12433437564215,TGFB2
GO_Biological_Process_2023,Detection Of Mechanical Stimulus Involved In Sensory Perception (GO:0050974),1/14,0.0118381886593292,0.0460584710511535,0,0,96.0096153846154,425.9394239533147,PIEZO2
GO_Biological_Process_2023,Nucleotide-Sugar Biosynthetic Process (GO:0009226),1/15,0.012678709933633,0.0460584710511535,0,0,89.14732142857143,389.38044082427126,UGDH
GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),2/204,0.0127308694412449,0.0460584710511535,0,0,13.056765676567656,56.97614224616206,TGFBR3;PLCE1
GO_Biological_Process_2023,Pharyngeal System Development (GO:0060037),1/16,0.0135185584535393,0.0460584710511535,0,0,83.2,358.0671608642671,TGFB2
GO_Biological_Process_2023,Regulation Of Transforming Growth Factor Beta Production (GO:0071634),1/16,0.0135185584535393,0.0460584710511535,0,0,83.2,358.0671608642671,TGFB2
GO_Biological_Process_2023,Negative Regulation Of Phosphatase Activity (GO:0010923),1/16,0.0135185584535393,0.0460584710511535,0,0,83.2,358.0671608642671,TGFB2
GO_Biological_Process_2023,Chondroitin Sulfate Metabolic Process (GO:0030204),1/16,0.0135185584535393,0.0460584710511535,0,0,83.2,358.0671608642671,UGDH
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023),1/16,0.0135185584535393,0.0460584710511535,0,0,83.2,358.0671608642671,TGFBR3
GO_Biological_Process_2023,Negative Regulation Of Cytokine Production Involved In Immune Response (GO:0002719),1/16,0.0135185584535393,0.0460584710511535,0,0,83.2,358.0671608642671,TGFB2
GO_Biological_Process_2023,Carboxylic Acid Biosynthetic Process (GO:0046394),1/17,0.0143577347072013,0.0460584710511535,0,0,77.99609375,330.9738092431344,UGDH
GO_Biological_Process_2023,Muscle Tissue Morphogenesis (GO:0060415),1/17,0.0143577347072013,0.0460584710511535,0,0,77.99609375,330.9738092431344,TGFBR3
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630),1/17,0.0143577347072013,0.0460584710511535,0,0,77.99609375,330.9738092431344,TGFB2
GO_Biological_Process_2023,Positive Regulation Of Stem Cell Differentiation (GO:2000738),1/17,0.0143577347072013,0.0460584710511535,0,0,77.99609375,330.9738092431344,TGFB2
GO_Biological_Process_2023,Embryo Development Ending In Birth Or Egg Hatching (GO:0009792),1/17,0.0143577347072013,0.0460584710511535,0,0,77.99609375,330.9738092431344,TGFB2
GO_Biological_Process_2023,Cardiac Atrium Morphogenesis (GO:0003209),1/18,0.0151962391911868,0.0460584710511535,0,0,73.40441176470588,307.3227868353231,TGFB2
GO_Biological_Process_2023,Mesenchyme Morphogenesis (GO:0072132),1/18,0.0151962391911868,0.0460584710511535,0,0,73.40441176470588,307.3227868353231,TGFB2
GO_Biological_Process_2023,Pulmonary Valve Morphogenesis (GO:0003184),1/18,0.0151962391911868,0.0460584710511535,0,0,73.40441176470588,307.3227868353231,TGFB2
GO_Biological_Process_2023,Positive Regulation Of Stress-Activated Protein Kinase Signaling Cascade (GO:0070304),1/18,0.0151962391911868,0.0460584710511535,0,0,73.40441176470588,307.3227868353231,TGFB2
GO_Biological_Process_2023,Detection Of Mechanical Stimulus (GO:0050982),1/18,0.0151962391911868,0.0460584710511535,0,0,73.40441176470588,307.3227868353231,PIEZO2
GO_Biological_Process_2023,Regulation Of Cell Growth (GO:0001558),2/227,0.0155918866375206,0.0460584710511535,0,0,11.708444444444444,48.71889104415255,TGFB2;PLCE1
GO_Biological_Process_2023,Gastrulation (GO:0007369),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,UGDH
GO_Biological_Process_2023,Chondroitin Sulfate Proteoglycan Biosynthetic Process (GO:0050650),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,UGDH
GO_Biological_Process_2023,Inositol Phosphate-Mediated Signaling (GO:0048016),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,PLCE1
GO_Biological_Process_2023,Negative Regulation Of RNA Splicing (GO:0033119),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,PTBP2
GO_Biological_Process_2023,Dopamine Metabolic Process (GO:0042417),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,TGFB2
GO_Biological_Process_2023,Atrioventricular Valve Morphogenesis (GO:0003181),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,TGFB2
GO_Biological_Process_2023,Embryonic Digestive Tract Development (GO:0048566),1/19,0.0160340723954654,0.0460584710511535,0,0,69.32291666666667,286.5143387139707,TGFB2
GO_Biological_Process_2023,Regulation Of Smooth Muscle Contraction (GO:0006940),1/20,0.0168712348172723,0.0460584710511535,0,0,65.67105263157895,268.0787715603985,PLCE1
GO_Biological_Process_2023,Pulmonary Valve Development (GO:0003177),1/20,0.0168712348172723,0.0460584710511535,0,0,65.67105263157895,268.0787715603985,TGFB2
GO_Biological_Process_2023,Negative Regulation Of Small GTPase Mediated Signal Transduction (GO:0051058),1/20,0.0168712348172723,0.0460584710511535,0,0,65.67105263157895,268.0787715603985,TGFB2
GO_Biological_Process_2023,Regulation Of Macrophage Chemotaxis (GO:0010758),1/20,0.0168712348172723,0.0460584710511535,0,0,65.67105263157895,268.0787715603985,C5
GO_Biological_Process_2023,Regulation Of Cardiac Muscle Cell Proliferation (GO:0060043),1/20,0.0168712348172723,0.0460584710511535,0,0,65.67105263157895,268.0787715603985,TGFBR3
GO_Biological_Process_2023,Limb Morphogenesis (GO:0035108),1/20,0.0168712348172723,0.0460584710511535,0,0,65.67105263157895,268.0787715603985,TGFB2
GO_Biological_Process_2023,Positive Regulation Of Heart Contraction (GO:0045823),1/21,0.0177077269512865,0.0469340724048663,0,0,62.384375,251.6432336564321,TGFB2
GO_Biological_Process_2023,Aminoglycan Biosynthetic Process (GO:0006023),1/21,0.0177077269512865,0.0469340724048663,0,0,62.384375,251.6432336564321,UGDH
GO_Biological_Process_2023,Endocardial Cushion Morphogenesis (GO:0003203),1/21,0.0177077269512865,0.0469340724048663,0,0,62.384375,251.6432336564321,TGFB2
GO_Biological_Process_2023,Acylglycerol Biosynthetic Process (GO:0046463),1/22,0.0185435492893687,0.0480944157949669,0,0,59.410714285714285,236.908142520545,PLCE1
GO_Biological_Process_2023,Positive Regulation Of Lamellipodium Assembly (GO:0010592),1/23,0.0193787023349683,0.0480944157949669,0,0,56.70738636363637,223.63015065372352,PLCE1
GO_Biological_Process_2023,Positive Regulation Of Neuron Apoptotic Process (GO:0043525),1/23,0.0193787023349683,0.0480944157949669,0,0,56.70738636363637,223.63015065372352,TGFB2
GO_Biological_Process_2023,Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012),1/23,0.0193787023349683,0.0480944157949669,0,0,56.70738636363637,223.63015065372352,UGDH
GO_Biological_Process_2023,Hepaticobiliary System Development (GO:0061008),1/23,0.0193787023349683,0.0480944157949669,0,0,56.70738636363637,223.63015065372352,TGFBR3
GO_Biological_Process_2023,Diacylglycerol Metabolic Process (GO:0046339),1/23,0.0193787023349683,0.0480944157949669,0,0,56.70738636363637,223.63015065372352,PLCE1
GO_Biological_Process_2023,Endocardial Cushion Development (GO:0003197),1/23,0.0193787023349683,0.0480944157949669,0,0,56.70738636363637,223.63015065372352,TGFB2
GO_Biological_Process_2023,Outflow Tract Septum Morphogenesis (GO:0003148),1/24,0.0202131865779684,0.0484052625946086,0,0,54.23913043478261,211.60963296162683,TGFB2
GO_Biological_Process_2023,Gliogenesis (GO:0042063),1/24,0.0202131865779684,0.0484052625946086,0,0,54.23913043478261,211.60963296162683,TGFB2
GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575),1/24,0.0202131865779684,0.0484052625946086,0,0,54.23913043478261,211.60963296162683,C5
GO_Biological_Process_2023,Lipid Translocation (GO:0034204),1/24,0.0202131865779684,0.0484052625946086,0,0,54.23913043478261,211.60963296162683,ABCA4
GO_Biological_Process_2023,Ventricular Cardiac Muscle Tissue Development (GO:0003229),1/25,0.0210470025189844,0.049963753805937,0,0,51.9765625,200.68135849118187,TGFBR3
GO_Biological_Process_2023,Regulation Of Vascular Endothelial Growth Factor Production (GO:0010574),1/26,0.0218801506534414,0.051493802830944,0,0,49.895,190.70744238188936,C5
GO_Biological_Process_2023,Positive Regulation Of Immune System Process (GO:0002684),1/27,0.0227126314766075,0.0529961401120842,0,0,47.97355769230769,181.5719549673859,TGFB2
GO_Biological_Process_2023,Fatty Acid Derivative Biosynthetic Process (GO:1901570),1/28,0.0235444454896736,0.0535636134890074,0,0,46.19444444444444,173.1767519855369,ACSS3
GO_Biological_Process_2023,Glycosaminoglycan Metabolic Process (GO:0030203),1/28,0.0235444454896736,0.0535636134890074,0,0,46.19444444444444,173.1767519855369,UGDH
GO_Biological_Process_2023,Primary Neural Tube Formation (GO:0014020),1/28,0.0235444454896736,0.0535636134890074,0,0,46.19444444444444,173.1767519855369,TGFB2
