Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,TGF-beta signaling pathway,2/94,0.0028388510214479,0.0929533621195465,0,0,28.827536231884057,169.05493156649112,TGFB2;ID4
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0032052883489498,0.0929533621195465,0,0,27.05442176870748,155.3722787250682,TGFB2;PLCE1
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0054291703701715,0.1049639604899833,0,0,20.52093023255814,107.03653477551352,TGFB2;FBXO32
KEGG_2021_Human,Proteoglycans in cancer,2/205,0.0128499028357678,0.1725146383056005,0,0,12.991789819376026,56.57169681140714,TGFB2;PLCE1
KEGG_2021_Human,Ascorbate and aldarate metabolism,1/30,0.0252060750668781,0.1725146383056005,0,0,43.00431034482759,158.28468525367578,UGDH
KEGG_2021_Human,Pentose and glucuronate interconversions,1/34,0.0285213543387547,0.1725146383056005,0,0,37.78409090909091,134.401872793062,UGDH
KEGG_2021_Human,Propanoate metabolism,1/34,0.0285213543387547,0.1725146383056005,0,0,37.78409090909091,134.401872793062,ACSS3
KEGG_2021_Human,ABC transporters,1/45,0.0375837425829818,0.1725146383056005,0,0,28.322443181818183,92.93113891804632,ABCA4
KEGG_2021_Human,Amino sugar and nucleotide sugar metabolism,1/48,0.0400414596344939,0.1725146383056005,0,0,26.51063829787234,85.306988915029,UGDH
KEGG_2021_Human,Sphingolipid metabolism,1/49,0.0408593851672061,0.1725146383056005,0,0,25.95703125,83.00068948212059,GALC
KEGG_2021_Human,Malaria,1/50,0.0416766547912334,0.1725146383056005,0,0,25.426020408163264,80.79916728086499,TGFB2
KEGG_2021_Human,Inflammatory bowel disease,1/65,0.0538573228643794,0.1725146383056005,0,0,19.4521484375,56.82783515327219,TGFB2
KEGG_2021_Human,Renal cell carcinoma,1/69,0.0570808058931169,0.1725146383056005,0,0,18.30422794117647,52.410264641542106,TGFB2
KEGG_2021_Human,Inositol phosphate metabolism,1/73,0.0602939507842242,0.1725146383056005,0,0,17.283854166666668,48.54211057952261,PLCE1
KEGG_2021_Human,PPAR signaling pathway,1/74,0.0610956253164146,0.1725146383056005,0,0,17.046232876712327,47.64959069441307,FABP7
KEGG_2021_Human,Chronic myeloid leukemia,1/76,0.0626970437431623,0.1725146383056005,0,0,16.59,45.94502588618206,TGFB2
KEGG_2021_Human,Pancreatic cancer,1/76,0.0626970437431623,0.1725146383056005,0,0,16.59,45.94502588618206,TGFB2
KEGG_2021_Human,Pertussis,1/76,0.0626970437431623,0.1725146383056005,0,0,16.59,45.94502588618206,C5
KEGG_2021_Human,Leishmaniasis,1/77,0.0634967886050346,0.1725146383056005,0,0,16.370888157894736,45.13070700420213,TGFB2
KEGG_2021_Human,Complement and coagulation cascades,1/85,0.0698716668814339,0.1725146383056005,0,0,14.805803571428571,39.39965059231033,C5
KEGG_2021_Human,Colorectal cancer,1/86,0.0706656488135395,0.1725146383056005,0,0,14.630882352941176,38.768849097220134,TGFB2
KEGG_2021_Human,Hypertrophic cardiomyopathy,1/90,0.0738352021932869,0.1725146383056005,0,0,13.970505617977528,36.406015342407166,TGFB2
KEGG_2021_Human,Rheumatoid arthritis,1/93,0.0762056875613829,0.1725146383056005,0,0,13.512907608695652,34.78653722330656,TGFB2
KEGG_2021_Human,Staphylococcus aureus infection,1/95,0.0777828375206224,0.1725146383056005,0,0,13.22406914893617,33.77208362032262,C5
KEGG_2021_Human,Dilated cardiomyopathy,1/96,0.0785704618658466,0.1725146383056005,0,0,13.08421052631579,33.28308421675135,TGFB2
KEGG_2021_Human,Phosphatidylinositol signaling system,1/97,0.0793574530631706,0.1725146383056005,0,0,12.947265625,32.80568984423409,PLCE1
KEGG_2021_Human,Amoebiasis,1/102,0.0832829288371864,0.1725146383056005,0,0,12.303217821782178,30.57979168054389,TGFB2
KEGG_2021_Human,Chagas disease,1/102,0.0832829288371864,0.1725146383056005,0,0,12.303217821782178,30.57979168054389,TGFB2
KEGG_2021_Human,Toxoplasmosis,1/112,0.0910866691723313,0.1818084470450034,0,0,11.18918918918919,26.808668657669458,TGFB2
KEGG_2021_Human,Thyroid hormone signaling pathway,1/121,0.0980565383627986,0.1818084470450034,0,0,10.3453125,24.02399894731515,PLCE1
KEGG_2021_Human,Cell cycle,1/124,0.100368627724104,0.1818084470450034,0,0,10.091463414634148,23.19932168971406,TGFB2
KEGG_2021_Human,Osteoclast differentiation,1/127,0.1026751379699901,0.1818084470450034,0,0,9.84970238095238,22.419747526457723,TGFB2
KEGG_2021_Human,Lysosome,1/128,0.1034427371118123,0.1818084470450034,0,0,9.771653543307089,22.169312765742117,GALC
