Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,Formation Of Cornified Envelope R-HSA-6809371,2/74,0.0017718241486146,0.101803948018406,0,0,36.87222222222222,233.61302231185695,DSG3;DSC3
Reactome_2022,Activation Of C3 And C5 R-HSA-174577,1/6,0.0050897414535705,0.101803948018406,0,0,249.725,1318.6799159042428,C5
Reactome_2022,Terminal Pathway Of Complement R-HSA-166665,1/7,0.0059356619951244,0.101803948018406,0,0,208.09375,1066.8501922993223,C5
Reactome_2022,Synthesis Of Ketone Bodies R-HSA-77111,1/8,0.0067809060200976,0.101803948018406,0,0,178.35714285714286,890.6521752159383,ACSS3
Reactome_2022,Ketone Body Metabolism R-HSA-74182,1/10,0.0084693662805775,0.101803948018406,0,0,138.70833333333334,661.8190142974174,ACSS3
Reactome_2022,Apoptotic Cleavage Of Cell Adhesion Proteins R-HSA-351906,1/11,0.0093125834341288,0.101803948018406,0,0,124.83125,583.7594513941907,DSG3
Reactome_2022,Diseases Associated With Visual Transduction R-HSA-2474795,1/13,0.0109969941425308,0.101803948018406,0,0,104.015625,469.12433437564215,ABCA4
Reactome_2022,Keratinization R-HSA-6805567,2/208,0.0132099568936911,0.101803948018406,0,0,12.800647249190938,55.385641129933155,DSG3;DSC3
Reactome_2022,Triglyceride Catabolism R-HSA-163560,1/23,0.0193787023349683,0.101803948018406,0,0,56.70738636363637,223.63015065372352,FABP7
Reactome_2022,Canonical Retinoid Cycle In Rods (Twilight Vision) R-HSA-2453902,1/23,0.0193787023349683,0.101803948018406,0,0,56.70738636363637,223.63015065372352,ABCA4
Reactome_2022,NOTCH3 Intracellular Domain Regulates Transcription R-HSA-9013508,1/25,0.0210470025189844,0.101803948018406,0,0,51.9765625,200.68135849118187,FABP7
Reactome_2022,Glucuronidation R-HSA-156588,1/25,0.0210470025189844,0.101803948018406,0,0,51.9765625,200.68135849118187,UGDH
Reactome_2022,Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,1/26,0.0218801506534414,0.101803948018406,0,0,49.895,190.70744238188936,PLCE1
