GeneID	GSM2069823	GSM2069824	GSM2069825	GSM2069826	GSM2069827	GSM2069828	GSM2069829	GSM2069830	GSM2069831	GSM2069832	GSM2069833	GSM2069834	GSM2069835	GSM2069836	GSM2069837	GSM2069838	GSM2069839	GSM2069840	GSM2069841	GSM2069842	GSM2069843	GSM2069844	GSM2069845	GSM2069846	GSM2069847	GSM2069848	GSM2069849	GSM2069850
100287102	5	1	8	1	4	5	5	10	8	20	5	5	8	22	7	10	7	13	11	4	4	3	1	3	14	3	6	6
653635	852	394	1448	1476	1522	1291	655	1651	1541	638	1166	1187	1429	830	1125	855	1076	970	1526	924	989	863	983	783	1028	762	822	1192
102466751	22	7	50	13	150	49	27	48	46	21	65	32	45	25	42	34	49	38	20	23	55	24	69	17	50	20	15	43
107985730	1	0	3	6	5	1	0	5	7	2	2	1	4	4	2	0	0	1	2	0	1	1	1	1	4	1	1	0
100302278	1	0	1	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0
645520	2	0	0	1	3	0	0	5	1	1	2	17	0	3	3	0	1	5	0	0	0	0	0	0	1	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
100996442	106	56	120	75	188	120	40	148	129	65	112	72	137	68	26	43	96	67	20	100	152	57	86	13	46	67	49	47
729737	224	124	157	142	286	331	166	726	191	130	655	558	301	370	308	857	472	509	207	479	590	1116	356	98	312	383	95	226
102725121	3	2	16	4	6	1	5	9	19	14	6	3	15	26	12	12	14	28	18	6	4	2	1	5	13	2	3	3
102723897	1123	354	1383	2583	1895	1208	823	1837	1745	659	1332	1242	1478	1048	1262	941	1388	1306	1626	1142	1264	1064	1262	876	1279	1091	894	1200
102465909	13	5	33	7	89	22	13	33	21	11	43	17	25	18	22	17	32	46	9	10	23	12	28	7	19	21	7	18
107985721	2	0	6	4	5	2	0	6	12	3	4	2	8	9	1	2	2	1	1	1	0	1	1	2	8	1	1	1
112268260	121	25	42	19	84	13	41	105	92	15	69	20	35	32	6	14	52	45	16	21	35	149	44	21	41	12	14	13
729759	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0
100132287	243	125	247	309	316	367	236	1155	323	217	471	531	507	289	201	481	408	355	263	908	1247	549	261	130	673	620	152	269
105378947	19	6	6	3	12	3	4	13	10	1	10	7	0	5	1	2	8	6	3	2	1	8	6	5	3	1	2	0
101928626	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
113219467	2266	3537	9282	184	11432	19968	5967	28055	10368	6332	3781	4430	22593	14088	16825	11203	3687	34832	54930	20663	18716	8554	10225	21619	23328	20986	32972	16773
81399	8	3	12	4	17	4	5	6	17	12	10	8	6	9	3	2	9	24	0	13	18	11	12	4	9	6	3	5
100133331	256	133	227	275	325	440	242	959	419	277	496	589	339	303	199	427	441	326	289	752	1006	496	272	134	580	561	169	290
107984841	35	24	50	37	59	43	25	95	84	38	82	76	35	49	21	50	88	35	18	162	242	41	50	22	46	112	28	46
107984847	61	28	92	87	78	53	33	161	124	53	147	102	77	86	40	50	110	56	16	360	544	63	77	34	98	197	30	83
107984849	14	10	25	14	16	7	9	51	19	9	30	15	18	18	8	11	26	10	3	89	126	15	12	3	12	40	3	9
100288069	57	57	127	61	140	54	20	72	160	69	146	117	90	77	42	41	117	41	14	144	250	23	74	20	42	115	45	41
105378580	38	16	25	17	53	42	38	67	87	82	77	50	34	24	6	32	35	70	9	46	98	25	28	15	56	35	13	37
400728	30	13	18	17	95	11	17	35	39	50	42	18	8	24	1	7	31	32	5	25	46	8	11	7	17	10	2	16
79854	59	22	71	34	74	73	42	100	101	66	64	190	32	106	7	43	69	75	57	58	100	24	66	12	40	83	14	39
643837	1082	471	942	1630	1995	901	477	972	2147	1386	1391	1355	262	714	336	412	870	846	441	1108	1219	573	639	620	720	1574	681	452
107984850	0	0	4	1	19	3	1	3	3	1	1	0	2	3	1	0	0	0	0	3	0	0	2	4	2	1	0	4
284593	5	2	4	2	3	4	3	7	5	5	2	3	7	2	3	3	2	3	4	6	5	3	2	4	4	5	6	1
284600	1	1	3	3	5	2	3	0	223	5	2	2	3	51	0	0	6	55	27	1	1	1	12	5	239	2	10	4
100130417	13	8	9	0	2	10	2	20	347	16	4	8	6	2	6	1	33	18	16	1	0	8	29	2	613	3	0	55
107985728	22	7	13	0	4	19	0	5	410	34	6	4	7	2	2	1	65	7	2	2	0	0	26	1	318	5	1	34
148398	737	179	211	286	298	578	354	508	1080	591	411	1128	313	777	316	286	362	954	2082	569	396	674	320	1994	2506	992	812	554
26155	10877	2065	4725	5731	7375	4334	2794	5885	9284	7923	6521	15260	2053	7691	4145	2519	4264	6175	8179	5808	4607	5559	3128	15540	3654	10242	6147	3550
339451	1014	68	222	818	330	660	92	284	2817	548	559	1145	348	644	634	286	323	1120	421	657	862	430	590	523	1630	476	405	329
84069	212	107	2	10	32	41	8	47	733	142	310	305	20	174	119	91	66	113	83	213	196	1293	1858	311	376	50	161	25
84808	24	15	5	41	54	38	2	12	111	25	45	42	4	167	197	41	13	31	146	66	109	286	3219	147	88	39	126	7
57801	420	111	379	20	162	606	261	154	330	156	151	386	140	931	279	88	217	348	516	979	847	108	439	3203	225	301	546	245
9636	1305	951	609	96	457	973	900	1015	2779	2120	2094	7590	1598	7459	968	1553	1775	7243	2187	801	312	578	704	8400	1040	2947	895	5333
375790	22058	3865	11190	7802	15849	14032	5969	10124	33406	34352	45479	23903	2150	9382	14232	3785	14928	13487	12092	12820	12518	4674	9313	13404	3785	16770	10391	2871
100288175	114	29	15	68	126	174	62	13	158	195	48	46	11	233	16	20	6	94	21	62	80	24	32	182	2	32	98	9
112267874	29	29	36	23	55	35	33	26	45	39	28	9	6	68	23	29	9	26	5	52	57	97	14	51	1	8	37	17
105378948	119	46	67	69	146	191	77	32	140	146	71	41	14	215	38	33	17	96	25	120	168	72	59	133	2	36	87	28
401934	1	0	1	2	3	1	0	2	1	4	0	0	1	7	0	0	0	0	0	5	2	221	2	2	0	0	2	1
54991	673	165	468	677	438	887	369	557	806	618	650	1026	235	485	398	326	405	598	632	654	705	420	468	423	410	581	333	364
254099	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	4
406984	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
406983	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	22	1	0	0	0	0	0
100506376	2	1	1	0	0	0	0	1	6	1	0	2	0	1	1	0	5	0	2	1	0	0	1	4	0	0	0	2
254173	2	3	0	2	1	1	5	12	26	10	5	2	1	3	1	5	34	3	11	10	1	12	6	1	1	1	3	12
8784	200	24	31	2	98	39	30	233	38	1372	236	61	97	47	39	236	58	192	128	73	44	591	107	65	71	19	86	476
7293	423	59	167	57	242	247	81	396	4734	5676	599	209	142	185	112	336	430	393	232	126	80	404	174	167	138	175	79	656
51150	16758	4493	5940	12782	14051	6115	5555	13149	35159	14569	22931	12887	3570	10179	6462	5428	11893	6927	7803	9371	8263	3997	5883	19449	9478	16923	7746	8317
126792	2733	613	1538	1542	1755	1924	663	943	1969	1722	2716	2555	703	1081	1139	1020	1476	1493	1674	2355	1916	791	1255	2455	2338	2399	1629	1396
388581	17	10	17	7	29	15	16	21	3811	15	19	20	10	41	28	18	34	74	61	47	43	48	7	20	18	33	29	26
